order_id,order_code,customer_id,sku_id,quantity,unit_price,total_value,channel,status,order_date,required_date,created_at
26,ORD-20231209-00026,4410,387,5,75.23,376.15,website,delivered,2023-12-09 08:49:00,2023-12-16 08:49:00,2023-12-09 08:49:00
27,ORD-20231015-00027,4879,98,5,102.57,512.85,mobile_app,returned,2023-10-15 19:16:00,2023-10-17 19:16:00,2023-10-15 19:16:00
28,ORD-20230821-00028,3282,260,4,20.39,81.56,mobile_app,delivered,2023-08-21 19:11:00,2023-08-27 19:11:00,2023-08-21 19:11:00
29,ORD-20231120-00029,4076,296,2,38.9,77.8,website,delivered,2023-11-20 15:06:00,2023-11-23 15:06:00,2023-11-20 15:06:00
30,ORD-20231020-00030,2668,18,4,633.82,2535.28,website,delivered,2023-10-20 12:50:00,2023-10-26 12:50:00,2023-10-20 12:50:00
31,ORD-20230718-00031,4455,302,1,240.54,240.54,marketplace,cancelled,2023-07-18 16:15:00,2023-07-20 16:15:00,2023-07-18 16:15:00
32,ORD-20230306-00032,3950,84,1,67.54,67.54,mobile_app,shipped,2023-03-06 10:26:00,2023-03-11 10:26:00,2023-03-06 10:26:00
33,ORD-20231028-00033,958,29,5,88.95,444.75,marketplace,delivered,2023-10-28 14:35:00,2023-11-03 14:35:00,2023-10-28 14:35:00
34,ORD-20230722-00034,1666,475,2,69.62,139.24,website,delivered,2023-07-22 10:39:00,2023-07-26 10:39:00,2023-07-22 10:39:00
35,ORD-20231118-00035,3971,485,1,142.79,142.79,mobile_app,delivered,2023-11-18 16:40:00,2023-11-20 16:40:00,2023-11-18 16:40:00
36,ORD-20230423-00036,1524,394,2,212.53,425.06,website,cancelled,2023-04-23 13:15:00,2023-04-30 13:15:00,2023-04-23 13:15:00
37,ORD-20230905-00037,1630,149,5,293.28,1466.4,website,shipped,2023-09-05 15:11:00,2023-09-12 15:11:00,2023-09-05 15:11:00
38,ORD-20230317-00038,2116,44,2,119.6,239.2,mobile_app,delivered,2023-03-17 18:24:00,2023-03-21 18:24:00,2023-03-17 18:24:00
39,ORD-20230916-00039,2868,342,3,61.37,184.11,mobile_app,delivered,2023-09-16 22:28:00,2023-09-20 22:28:00,2023-09-16 22:28:00
40,ORD-20231211-00040,1314,225,3,146.44,439.32,website,cancelled,2023-12-11 11:18:00,2023-12-16 11:18:00,2023-12-11 11:18:00
41,ORD-20231215-00041,2378,60,5,145.17,725.85,website,delivered,2023-12-15 09:56:00,2023-12-20 09:56:00,2023-12-15 09:56:00
42,ORD-20230504-00042,622,250,4,227.55,910.2,website,cancelled,2023-05-04 22:24:00,2023-05-06 22:24:00,2023-05-04 22:24:00
43,ORD-20230201-00043,4572,15,4,128.96,515.84,website,cancelled,2023-02-01 16:25:00,2023-02-07 16:25:00,2023-02-01 16:25:00
44,ORD-20230227-00044,1030,455,5,444.13,2220.65,marketplace,delivered,2023-02-27 14:36:00,2023-03-06 14:36:00,2023-02-27 14:36:00
45,ORD-20231210-00045,3870,130,4,262.13,1048.52,website,shipped,2023-12-10 20:43:00,2023-12-16 20:43:00,2023-12-10 20:43:00
46,ORD-20230604-00046,3079,331,2,118.19,236.38,website,delivered,2023-06-04 13:02:00,2023-06-10 13:02:00,2023-06-04 13:02:00
47,ORD-20230414-00047,4957,155,2,724.18,1448.36,marketplace,delivered,2023-04-14 14:35:00,2023-04-17 14:35:00,2023-04-14 14:35:00
48,ORD-20231007-00048,4242,266,1,387.89,387.89,marketplace,delivered,2023-10-07 17:39:00,2023-10-12 17:39:00,2023-10-07 17:39:00
49,ORD-20230321-00049,574,273,5,86.82,434.1,website,shipped,2023-03-21 17:08:00,2023-03-23 17:08:00,2023-03-21 17:08:00
50,ORD-20231022-00050,1322,89,2,120.7,241.4,marketplace,cancelled,2023-10-22 22:50:00,2023-10-25 22:50:00,2023-10-22 22:50:00
51,ORD-20231113-00051,4550,486,3,132.68,398.04,website,delivered,2023-11-13 18:11:00,2023-11-18 18:11:00,2023-11-13 18:11:00
52,ORD-20231106-00052,1418,385,4,28.87,115.48,marketplace,shipped,2023-11-06 18:02:00,2023-11-11 18:02:00,2023-11-06 18:02:00
53,ORD-20231217-00053,2660,472,2,170.27,340.54,mobile_app,delivered,2023-12-17 12:45:00,2023-12-24 12:45:00,2023-12-17 12:45:00
54,ORD-20230913-00054,1573,447,1,31.18,31.18,website,delivered,2023-09-13 18:27:00,2023-09-16 18:27:00,2023-09-13 18:27:00
55,ORD-20230310-00055,2381,298,5,167.01,835.05,website,delivered,2023-03-10 09:01:00,2023-03-17 09:01:00,2023-03-10 09:01:00
56,ORD-20230815-00056,1505,462,2,469.1,938.2,marketplace,delivered,2023-08-15 19:05:00,2023-08-21 19:05:00,2023-08-15 19:05:00
57,ORD-20230521-00057,814,39,3,196.53,589.59,marketplace,shipped,2023-05-21 20:24:00,2023-05-25 20:24:00,2023-05-21 20:24:00
58,ORD-20230616-00058,2174,94,2,63.18,126.36,website,shipped,2023-06-16 10:45:00,2023-06-18 10:45:00,2023-06-16 10:45:00
59,ORD-20231109-00059,4431,18,5,633.82,3169.1,website,returned,2023-11-09 22:47:00,2023-11-16 22:47:00,2023-11-09 22:47:00
60,ORD-20230908-00060,3945,159,1,64.99,64.99,marketplace,delivered,2023-09-08 21:01:00,2023-09-13 21:01:00,2023-09-08 21:01:00
61,ORD-20230220-00061,3822,191,4,59.38,237.52,mobile_app,delivered,2023-02-20 08:50:00,2023-02-22 08:50:00,2023-02-20 08:50:00
62,ORD-20231118-00062,4016,139,2,62.39,124.78,website,returned,2023-11-18 11:12:00,2023-11-25 11:12:00,2023-11-18 11:12:00
63,ORD-20230218-00063,4993,407,3,142.63,427.89,website,shipped,2023-02-18 11:31:00,2023-02-23 11:31:00,2023-02-18 11:31:00
64,ORD-20230514-00064,3989,173,3,155.75,467.25,website,shipped,2023-05-14 15:22:00,2023-05-21 15:22:00,2023-05-14 15:22:00
65,ORD-20231028-00065,2113,144,5,193.64,968.2,mobile_app,cancelled,2023-10-28 20:17:00,2023-11-01 20:17:00,2023-10-28 20:17:00
66,ORD-20230709-00066,3120,271,1,17.33,17.33,website,delivered,2023-07-09 13:32:00,2023-07-15 13:32:00,2023-07-09 13:32:00
67,ORD-20231007-00067,2674,72,1,75.12,75.12,website,delivered,2023-10-07 20:33:00,2023-10-10 20:33:00,2023-10-07 20:33:00
68,ORD-20230522-00068,2227,391,1,105.26,105.26,marketplace,delivered,2023-05-22 12:41:00,2023-05-29 12:41:00,2023-05-22 12:41:00
69,ORD-20230803-00069,4202,31,4,48.35,193.4,website,delivered,2023-08-03 15:11:00,2023-08-09 15:11:00,2023-08-03 15:11:00
70,ORD-20230910-00070,3303,494,3,741.67,2225.01,mobile_app,shipped,2023-09-10 18:31:00,2023-09-17 18:31:00,2023-09-10 18:31:00
71,ORD-20230610-00071,4768,383,3,156.75,470.25,mobile_app,delivered,2023-06-10 17:16:00,2023-06-17 17:16:00,2023-06-10 17:16:00
72,ORD-20230914-00072,813,97,3,51.69,155.07,website,shipped,2023-09-14 19:25:00,2023-09-19 19:25:00,2023-09-14 19:25:00
73,ORD-20231126-00073,4496,2,3,85.56,256.68,website,delivered,2023-11-26 21:59:00,2023-12-02 21:59:00,2023-11-26 21:59:00
74,ORD-20230615-00074,1141,399,5,78.58,392.9,marketplace,delivered,2023-06-15 21:15:00,2023-06-19 21:15:00,2023-06-15 21:15:00
75,ORD-20230502-00075,2629,354,4,28.17,112.68,website,delivered,2023-05-02 18:41:00,2023-05-05 18:41:00,2023-05-02 18:41:00
76,ORD-20231224-00076,964,361,3,438.58,1315.74,mobile_app,delivered,2023-12-24 09:45:00,2023-12-27 09:45:00,2023-12-24 09:45:00
77,ORD-20230424-00077,2205,382,4,109.69,438.76,marketplace,delivered,2023-04-24 08:51:00,2023-05-01 08:51:00,2023-04-24 08:51:00
78,ORD-20231028-00078,2580,31,5,48.35,241.75,mobile_app,delivered,2023-10-28 20:04:00,2023-10-31 20:04:00,2023-10-28 20:04:00
79,ORD-20231108-00079,2599,175,1,643.01,643.01,mobile_app,delivered,2023-11-08 17:30:00,2023-11-12 17:30:00,2023-11-08 17:30:00
80,ORD-20231022-00080,3846,54,3,106.69,320.07,marketplace,delivered,2023-10-22 13:08:00,2023-10-25 13:08:00,2023-10-22 13:08:00
81,ORD-20231223-00081,3619,425,2,148.86,297.72,mobile_app,delivered,2023-12-23 10:51:00,2023-12-29 10:51:00,2023-12-23 10:51:00
82,ORD-20231113-00082,3636,310,2,43.87,87.74,website,delivered,2023-11-13 15:30:00,2023-11-15 15:30:00,2023-11-13 15:30:00
83,ORD-20230514-00083,37,162,4,732.96,2931.84,website,delivered,2023-05-14 11:53:00,2023-05-17 11:53:00,2023-05-14 11:53:00
84,ORD-20230802-00084,2449,27,4,585.16,2340.64,website,delivered,2023-08-02 20:43:00,2023-08-09 20:43:00,2023-08-02 20:43:00
85,ORD-20231103-00085,316,154,5,264.21,1321.05,website,delivered,2023-11-03 17:22:00,2023-11-08 17:22:00,2023-11-03 17:22:00
86,ORD-20230326-00086,913,159,2,64.99,129.98,website,delivered,2023-03-26 16:59:00,2023-03-30 16:59:00,2023-03-26 16:59:00
87,ORD-20231006-00087,3277,361,5,438.58,2192.9,website,shipped,2023-10-06 18:58:00,2023-10-13 18:58:00,2023-10-06 18:58:00
88,ORD-20231211-00088,208,321,3,38.87,116.61,mobile_app,delivered,2023-12-11 22:52:00,2023-12-14 22:52:00,2023-12-11 22:52:00
89,ORD-20230117-00089,2967,444,5,21.23,106.15,website,shipped,2023-01-17 18:21:00,2023-01-19 18:21:00,2023-01-17 18:21:00
90,ORD-20230218-00090,2301,238,3,91.15,273.45,mobile_app,delivered,2023-02-18 13:07:00,2023-02-20 13:07:00,2023-02-18 13:07:00
91,ORD-20230521-00091,1039,58,3,333.37,1000.11,mobile_app,delivered,2023-05-21 12:19:00,2023-05-25 12:19:00,2023-05-21 12:19:00
92,ORD-20230616-00092,1096,356,4,67.51,270.04,website,shipped,2023-06-16 19:01:00,2023-06-22 19:01:00,2023-06-16 19:01:00
93,ORD-20231207-00093,525,377,2,88.63,177.26,website,returned,2023-12-07 16:41:00,2023-12-12 16:41:00,2023-12-07 16:41:00
94,ORD-20230114-00094,4187,279,3,23.08,69.24,mobile_app,delivered,2023-01-14 19:08:00,2023-01-17 19:08:00,2023-01-14 19:08:00
95,ORD-20230912-00095,4427,381,4,281.12,1124.48,mobile_app,delivered,2023-09-12 21:52:00,2023-09-16 21:52:00,2023-09-12 21:52:00
96,ORD-20230817-00096,273,249,5,245.83,1229.15,website,delivered,2023-08-17 19:17:00,2023-08-24 19:17:00,2023-08-17 19:17:00
97,ORD-20231003-00097,860,266,3,387.89,1163.67,website,delivered,2023-10-03 08:05:00,2023-10-09 08:05:00,2023-10-03 08:05:00
98,ORD-20231120-00098,1315,213,2,94.49,188.98,website,shipped,2023-11-20 19:40:00,2023-11-22 19:40:00,2023-11-20 19:40:00
99,ORD-20230113-00099,2153,10,1,278.36,278.36,website,delivered,2023-01-13 10:36:00,2023-01-16 10:36:00,2023-01-13 10:36:00
100,ORD-20230712-00100,2056,51,1,633.34,633.34,website,delivered,2023-07-12 14:35:00,2023-07-18 14:35:00,2023-07-12 14:35:00
101,ORD-20230427-00101,1471,14,4,24.4,97.6,website,shipped,2023-04-27 22:50:00,2023-04-29 22:50:00,2023-04-27 22:50:00
102,ORD-20231113-00102,4987,321,5,38.87,194.35,mobile_app,delivered,2023-11-13 08:15:00,2023-11-17 08:15:00,2023-11-13 08:15:00
103,ORD-20231019-00103,2622,156,3,32.12,96.36,website,delivered,2023-10-19 10:50:00,2023-10-24 10:50:00,2023-10-19 10:50:00
104,ORD-20231205-00104,3907,259,5,241.95,1209.75,marketplace,delivered,2023-12-05 12:04:00,2023-12-11 12:04:00,2023-12-05 12:04:00
105,ORD-20230626-00105,3435,454,1,142.46,142.46,mobile_app,delivered,2023-06-26 14:10:00,2023-06-28 14:10:00,2023-06-26 14:10:00
106,ORD-20231014-00106,640,128,5,257.19,1285.95,website,delivered,2023-10-14 16:10:00,2023-10-20 16:10:00,2023-10-14 16:10:00
107,ORD-20231006-00107,2342,207,5,291.58,1457.9,mobile_app,delivered,2023-10-06 12:16:00,2023-10-13 12:16:00,2023-10-06 12:16:00
108,ORD-20230227-00108,1481,373,4,52.36,209.44,website,delivered,2023-02-27 18:35:00,2023-03-06 18:35:00,2023-02-27 18:35:00
109,ORD-20231227-00109,2646,114,4,285.89,1143.56,website,returned,2023-12-27 13:09:00,2024-01-01 13:09:00,2023-12-27 13:09:00
110,ORD-20230405-00110,3786,32,3,142.45,427.35,website,delivered,2023-04-05 12:07:00,2023-04-07 12:07:00,2023-04-05 12:07:00
111,ORD-20231101-00111,2801,145,5,15.03,75.15,mobile_app,delivered,2023-11-01 11:20:00,2023-11-07 11:20:00,2023-11-01 11:20:00
112,ORD-20230813-00112,2557,78,5,146.72,733.6,mobile_app,delivered,2023-08-13 12:33:00,2023-08-17 12:33:00,2023-08-13 12:33:00
113,ORD-20231027-00113,1898,465,4,455.87,1823.48,marketplace,delivered,2023-10-27 13:19:00,2023-11-01 13:19:00,2023-10-27 13:19:00
114,ORD-20230713-00114,582,394,3,212.53,637.59,mobile_app,delivered,2023-07-13 15:44:00,2023-07-17 15:44:00,2023-07-13 15:44:00
115,ORD-20230616-00115,3874,320,4,261.9,1047.6,website,delivered,2023-06-16 18:45:00,2023-06-18 18:45:00,2023-06-16 18:45:00
116,ORD-20231009-00116,3137,429,3,96.34,289.02,website,delivered,2023-10-09 13:30:00,2023-10-14 13:30:00,2023-10-09 13:30:00
117,ORD-20231201-00117,666,391,5,105.26,526.3,mobile_app,delivered,2023-12-01 22:37:00,2023-12-05 22:37:00,2023-12-01 22:37:00
118,ORD-20230808-00118,4816,90,2,193.94,387.88,website,delivered,2023-08-08 15:51:00,2023-08-10 15:51:00,2023-08-08 15:51:00
119,ORD-20230704-00119,3261,444,5,21.23,106.15,website,delivered,2023-07-04 19:19:00,2023-07-06 19:19:00,2023-07-04 19:19:00
120,ORD-20231126-00120,2274,271,4,17.33,69.32,marketplace,delivered,2023-11-26 17:08:00,2023-12-01 17:08:00,2023-11-26 17:08:00
121,ORD-20230616-00121,3292,394,1,212.53,212.53,mobile_app,delivered,2023-06-16 11:30:00,2023-06-22 11:30:00,2023-06-16 11:30:00
122,ORD-20231115-00122,1956,447,2,31.18,62.36,website,delivered,2023-11-15 15:16:00,2023-11-19 15:16:00,2023-11-15 15:16:00
123,ORD-20230423-00123,4266,158,5,145.2,726.0,website,delivered,2023-04-23 16:28:00,2023-04-26 16:28:00,2023-04-23 16:28:00
124,ORD-20230513-00124,2158,51,2,633.34,1266.68,mobile_app,delivered,2023-05-13 15:42:00,2023-05-20 15:42:00,2023-05-13 15:42:00
125,ORD-20230908-00125,2340,114,2,285.89,571.78,mobile_app,delivered,2023-09-08 17:22:00,2023-09-14 17:22:00,2023-09-08 17:22:00
126,ORD-20230911-00126,1425,212,2,110.92,221.84,mobile_app,delivered,2023-09-11 11:19:00,2023-09-16 11:19:00,2023-09-11 11:19:00
127,ORD-20230604-00127,1701,401,4,53.07,212.28,website,delivered,2023-06-04 14:13:00,2023-06-10 14:13:00,2023-06-04 14:13:00
128,ORD-20231123-00128,719,425,4,148.86,595.44,website,cancelled,2023-11-23 10:51:00,2023-11-25 10:51:00,2023-11-23 10:51:00
129,ORD-20231015-00129,4399,2,1,85.56,85.56,marketplace,delivered,2023-10-15 16:09:00,2023-10-17 16:09:00,2023-10-15 16:09:00
130,ORD-20230115-00130,1375,259,1,241.95,241.95,mobile_app,shipped,2023-01-15 12:14:00,2023-01-20 12:14:00,2023-01-15 12:14:00
131,ORD-20230506-00131,3822,209,4,123.56,494.24,mobile_app,delivered,2023-05-06 13:49:00,2023-05-12 13:49:00,2023-05-06 13:49:00
132,ORD-20230208-00132,2104,112,5,132.32,661.6,website,delivered,2023-02-08 21:40:00,2023-02-14 21:40:00,2023-02-08 21:40:00
133,ORD-20230205-00133,3208,58,5,333.37,1666.85,marketplace,delivered,2023-02-05 18:31:00,2023-02-08 18:31:00,2023-02-05 18:31:00
134,ORD-20230607-00134,3392,166,4,281.7,1126.8,website,delivered,2023-06-07 08:22:00,2023-06-10 08:22:00,2023-06-07 08:22:00
135,ORD-20230927-00135,1326,473,5,277.56,1387.8,website,delivered,2023-09-27 11:35:00,2023-09-29 11:35:00,2023-09-27 11:35:00
136,ORD-20230510-00136,4702,159,2,64.99,129.98,website,shipped,2023-05-10 22:00:00,2023-05-13 22:00:00,2023-05-10 22:00:00
137,ORD-20230707-00137,2685,265,3,77.87,233.61,marketplace,delivered,2023-07-07 11:08:00,2023-07-10 11:08:00,2023-07-07 11:08:00
138,ORD-20230110-00138,4853,351,4,162.87,651.48,website,shipped,2023-01-10 21:29:00,2023-01-15 21:29:00,2023-01-10 21:29:00
139,ORD-20230626-00139,3080,179,4,55.92,223.68,website,cancelled,2023-06-26 09:58:00,2023-06-29 09:58:00,2023-06-26 09:58:00
140,ORD-20231102-00140,1556,488,5,319.68,1598.4,website,delivered,2023-11-02 22:43:00,2023-11-04 22:43:00,2023-11-02 22:43:00
141,ORD-20230523-00141,397,484,1,40.95,40.95,mobile_app,delivered,2023-05-23 20:25:00,2023-05-28 20:25:00,2023-05-23 20:25:00
142,ORD-20231209-00142,3777,128,1,257.19,257.19,mobile_app,shipped,2023-12-09 14:41:00,2023-12-13 14:41:00,2023-12-09 14:41:00
143,ORD-20230821-00143,4418,252,3,37.15,111.45,website,delivered,2023-08-21 16:51:00,2023-08-27 16:51:00,2023-08-21 16:51:00
144,ORD-20231224-00144,960,148,4,87.39,349.56,website,delivered,2023-12-24 15:48:00,2023-12-28 15:48:00,2023-12-24 15:48:00
145,ORD-20231207-00145,1657,144,1,193.64,193.64,website,delivered,2023-12-07 15:33:00,2023-12-10 15:33:00,2023-12-07 15:33:00
146,ORD-20230412-00146,2613,15,2,128.96,257.92,marketplace,delivered,2023-04-12 20:25:00,2023-04-15 20:25:00,2023-04-12 20:25:00
147,ORD-20230827-00147,3091,302,3,240.54,721.62,website,delivered,2023-08-27 08:57:00,2023-09-01 08:57:00,2023-08-27 08:57:00
148,ORD-20230911-00148,245,253,3,62.53,187.59,mobile_app,shipped,2023-09-11 17:27:00,2023-09-18 17:27:00,2023-09-11 17:27:00
149,ORD-20230506-00149,857,20,2,392.35,784.7,website,delivered,2023-05-06 10:01:00,2023-05-11 10:01:00,2023-05-06 10:01:00
150,ORD-20231112-00150,3346,141,3,402.12,1206.36,mobile_app,delivered,2023-11-12 17:31:00,2023-11-18 17:31:00,2023-11-12 17:31:00
151,ORD-20231108-00151,1554,455,5,444.13,2220.65,mobile_app,delivered,2023-11-08 16:02:00,2023-11-13 16:02:00,2023-11-08 16:02:00
152,ORD-20231217-00152,1071,120,2,779.86,1559.72,website,returned,2023-12-17 15:43:00,2023-12-22 15:43:00,2023-12-17 15:43:00
153,ORD-20230127-00153,4307,73,1,84.33,84.33,website,delivered,2023-01-27 18:44:00,2023-02-02 18:44:00,2023-01-27 18:44:00
154,ORD-20231102-00154,2948,247,4,164.24,656.96,website,delivered,2023-11-02 09:12:00,2023-11-06 09:12:00,2023-11-02 09:12:00
155,ORD-20231222-00155,544,493,1,116.07,116.07,mobile_app,shipped,2023-12-22 22:16:00,2023-12-29 22:16:00,2023-12-22 22:16:00
156,ORD-20230601-00156,2151,122,5,218.53,1092.65,marketplace,delivered,2023-06-01 19:40:00,2023-06-07 19:40:00,2023-06-01 19:40:00
157,ORD-20230609-00157,2635,335,5,127.96,639.8,website,delivered,2023-06-09 14:42:00,2023-06-13 14:42:00,2023-06-09 14:42:00
158,ORD-20230721-00158,62,378,5,250.6,1253.0,website,delivered,2023-07-21 21:56:00,2023-07-27 21:56:00,2023-07-21 21:56:00
159,ORD-20231212-00159,4664,118,4,202.67,810.68,mobile_app,delivered,2023-12-12 14:27:00,2023-12-14 14:27:00,2023-12-12 14:27:00
160,ORD-20230904-00160,2376,361,3,438.58,1315.74,marketplace,delivered,2023-09-04 21:10:00,2023-09-08 21:10:00,2023-09-04 21:10:00
161,ORD-20230909-00161,2129,183,5,179.71,898.55,website,delivered,2023-09-09 09:52:00,2023-09-11 09:52:00,2023-09-09 09:52:00
162,ORD-20230418-00162,1678,319,1,169.47,169.47,mobile_app,shipped,2023-04-18 08:04:00,2023-04-25 08:04:00,2023-04-18 08:04:00
163,ORD-20230510-00163,3704,320,4,261.9,1047.6,website,shipped,2023-05-10 19:16:00,2023-05-17 19:16:00,2023-05-10 19:16:00
164,ORD-20230907-00164,2360,270,4,125.41,501.64,marketplace,shipped,2023-09-07 12:41:00,2023-09-09 12:41:00,2023-09-07 12:41:00
165,ORD-20231219-00165,814,40,2,246.96,493.92,mobile_app,returned,2023-12-19 13:19:00,2023-12-21 13:19:00,2023-12-19 13:19:00
166,ORD-20230117-00166,4435,409,1,352.31,352.31,website,delivered,2023-01-17 22:38:00,2023-01-22 22:38:00,2023-01-17 22:38:00
167,ORD-20230325-00167,332,158,3,145.2,435.6,marketplace,shipped,2023-03-25 13:32:00,2023-03-31 13:32:00,2023-03-25 13:32:00
168,ORD-20230216-00168,2570,90,3,193.94,581.82,website,delivered,2023-02-16 22:37:00,2023-02-20 22:37:00,2023-02-16 22:37:00
169,ORD-20230423-00169,4238,16,3,37.22,111.66,website,delivered,2023-04-23 19:12:00,2023-04-26 19:12:00,2023-04-23 19:12:00
170,ORD-20230924-00170,452,296,2,38.9,77.8,marketplace,delivered,2023-09-24 17:13:00,2023-10-01 17:13:00,2023-09-24 17:13:00
171,ORD-20230811-00171,2321,338,3,38.05,114.15,mobile_app,delivered,2023-08-11 14:23:00,2023-08-16 14:23:00,2023-08-11 14:23:00
172,ORD-20230613-00172,3136,7,1,130.79,130.79,website,shipped,2023-06-13 12:25:00,2023-06-19 12:25:00,2023-06-13 12:25:00
173,ORD-20231027-00173,3371,259,2,241.95,483.9,mobile_app,delivered,2023-10-27 11:10:00,2023-10-29 11:10:00,2023-10-27 11:10:00
174,ORD-20231014-00174,3113,114,4,285.89,1143.56,website,returned,2023-10-14 18:51:00,2023-10-20 18:51:00,2023-10-14 18:51:00
175,ORD-20231212-00175,1969,324,4,25.44,101.76,website,shipped,2023-12-12 18:21:00,2023-12-18 18:21:00,2023-12-12 18:21:00
176,ORD-20230528-00176,4717,86,2,482.77,965.54,mobile_app,cancelled,2023-05-28 13:09:00,2023-06-04 13:09:00,2023-05-28 13:09:00
177,ORD-20230517-00177,2985,344,3,219.15,657.45,mobile_app,shipped,2023-05-17 20:39:00,2023-05-19 20:39:00,2023-05-17 20:39:00
178,ORD-20230204-00178,191,191,3,59.38,178.14,website,delivered,2023-02-04 12:15:00,2023-02-10 12:15:00,2023-02-04 12:15:00
179,ORD-20230615-00179,3660,471,2,198.71,397.42,website,delivered,2023-06-15 14:44:00,2023-06-20 14:44:00,2023-06-15 14:44:00
180,ORD-20230315-00180,2966,69,2,208.22,416.44,website,delivered,2023-03-15 10:33:00,2023-03-21 10:33:00,2023-03-15 10:33:00
181,ORD-20230311-00181,2515,168,2,228.03,456.06,website,delivered,2023-03-11 11:16:00,2023-03-14 11:16:00,2023-03-11 11:16:00
182,ORD-20231011-00182,3234,52,2,484.01,968.02,mobile_app,delivered,2023-10-11 20:01:00,2023-10-14 20:01:00,2023-10-11 20:01:00
183,ORD-20231206-00183,3487,463,2,346.96,693.92,marketplace,delivered,2023-12-06 17:36:00,2023-12-09 17:36:00,2023-12-06 17:36:00
184,ORD-20230105-00184,3732,434,3,264.87,794.61,website,delivered,2023-01-05 22:28:00,2023-01-12 22:28:00,2023-01-05 22:28:00
185,ORD-20231111-00185,1900,130,2,262.13,524.26,marketplace,delivered,2023-11-11 18:32:00,2023-11-13 18:32:00,2023-11-11 18:32:00
186,ORD-20231004-00186,3366,329,3,278.43,835.29,website,delivered,2023-10-04 16:15:00,2023-10-09 16:15:00,2023-10-04 16:15:00
