po_id,supplier_id,sku_id,ordered_qty,unit_cost,status,order_date,expected_date,actual_date,created_at
42,1,248,109,18.05,received,2023-02-23,2023-02-25,2023-02-23,2023-02-23
43,14,482,283,19.13,received,2023-03-14,2023-03-24,2023-03-24,2023-03-14
44,13,106,99,32.27,received,2023-09-24,2023-10-24,2023-10-25,2023-09-24
45,8,370,203,128.4,received,2023-12-23,2024-01-18,2024-01-16,2023-12-23
46,1,415,381,97.16,received,2023-12-30,2024-01-01,2024-01-01,2023-12-30
47,2,347,314,16.83,received,2023-03-26,2023-03-31,2023-04-10,2023-03-26
48,3,283,286,236.92,received,2023-03-23,2023-04-16,2023-04-17,2023-03-23
49,4,409,377,176.16,received,2023-07-27,2023-08-04,2023-08-03,2023-07-27
50,11,222,280,19.14,received,2023-07-22,2023-07-24,2023-07-23,2023-07-22
51,10,220,155,175.26,received,2023-07-19,2023-07-28,2023-07-27,2023-07-19
52,5,386,345,66.08,received,2023-12-27,2024-01-01,2023-12-30,2023-12-27
53,2,410,150,45.34,received,2023-10-02,2023-10-07,2023-10-07,2023-10-02
54,8,59,320,145.12,received,2023-05-15,2023-06-10,2023-06-11,2023-05-15
55,11,161,350,63.97,received,2023-11-02,2023-11-04,2023-11-05,2023-11-02
56,2,179,466,19.57,received,2023-06-30,2023-07-05,2023-07-04,2023-06-30
57,11,362,394,126.63,received,2023-06-02,2023-06-04,2023-06-02,2023-06-02
58,3,161,143,63.97,received,2023-03-02,2023-03-26,2023-03-24,2023-03-02
59,6,356,355,23.63,received,2023-03-14,2023-03-17,2023-03-18,2023-03-14
60,3,295,375,320.95,received,2023-07-16,2023-08-09,2023-08-10,2023-07-16
61,9,356,334,23.63,received,2023-11-27,2023-12-10,2023-12-18,2023-11-27
62,3,251,481,13.5,received,2023-05-28,2023-06-21,2023-06-21,2023-05-28
63,8,318,298,11.19,received,2023-01-28,2023-02-23,2023-02-26,2023-01-28
64,3,100,384,112.77,received,2023-07-16,2023-08-09,2023-08-28,2023-07-16
65,8,210,300,107.29,received,2023-12-17,2024-01-12,2024-01-13,2023-12-17
66,3,43,199,104.38,received,2023-10-17,2023-11-10,2023-11-09,2023-10-17
67,1,141,449,221.17,received,2023-04-26,2023-04-28,2023-04-27,2023-04-26
68,8,290,343,182.0,received,2023-09-11,2023-10-07,2023-10-05,2023-09-11
69,2,138,327,19.77,received,2023-10-06,2023-10-11,2023-10-11,2023-10-06
70,14,388,329,81.11,received,2023-01-22,2023-02-01,2023-02-02,2023-01-22
71,4,218,202,48.06,received,2023-02-22,2023-03-02,2023-03-01,2023-02-22
72,14,17,274,58.24,received,2023-08-19,2023-08-29,2023-08-27,2023-08-19
73,14,61,490,41.46,received,2023-05-02,2023-05-12,2023-05-12,2023-05-02
74,12,313,451,420.78,received,2023-11-20,2023-11-24,2023-11-23,2023-11-20
75,4,417,322,43.66,received,2023-04-16,2023-04-24,2023-04-24,2023-04-16
76,5,306,198,29.36,received,2023-10-03,2023-10-08,2023-10-08,2023-10-03
77,10,137,119,43.66,received,2023-09-21,2023-09-30,2023-10-06,2023-09-21
78,13,403,493,31.8,received,2023-07-30,2023-08-29,2023-09-09,2023-07-30
79,11,65,124,231.4,received,2023-12-26,2023-12-28,2023-12-27,2023-12-26
80,12,165,300,53.23,received,2023-05-07,2023-05-11,2023-05-12,2023-05-07
81,3,296,242,17.5,received,2023-11-20,2023-12-14,2023-12-15,2023-11-20
82,8,39,256,78.61,received,2023-11-21,2023-12-17,2023-12-15,2023-11-21
83,9,384,282,25.9,received,2023-05-23,2023-06-05,2023-06-05,2023-05-23
84,8,168,424,102.61,received,2023-10-25,2023-11-20,2023-11-18,2023-10-25
85,8,326,457,41.79,received,2023-12-07,2024-01-02,2023-12-31,2023-12-07
86,9,204,303,18.28,received,2023-04-22,2023-05-05,2023-05-14,2023-04-22
87,5,166,339,154.94,received,2023-05-26,2023-05-31,2023-05-30,2023-05-26
88,14,249,73,122.92,received,2023-06-25,2023-07-05,2023-07-03,2023-06-25
89,2,321,275,19.43,received,2023-08-24,2023-08-29,2023-08-28,2023-08-24
90,8,1,382,241.97,received,2023-08-08,2023-09-03,2023-09-02,2023-08-08
91,5,82,178,53.93,received,2023-05-21,2023-05-26,2023-05-26,2023-05-21
92,2,191,76,29.69,received,2023-12-07,2023-12-12,2023-12-11,2023-12-07
93,7,321,269,19.43,received,2023-06-06,2023-06-13,2023-06-12,2023-06-06
94,11,47,294,419.22,received,2023-12-27,2023-12-29,2023-12-28,2023-12-27
95,2,68,54,49.96,received,2023-10-31,2023-11-05,2023-11-06,2023-10-31
96,1,357,405,79.2,received,2023-06-25,2023-06-27,2023-06-28,2023-06-25
97,3,245,424,80.59,received,2023-02-06,2023-03-02,2023-02-28,2023-02-06
98,13,53,120,86.88,received,2023-02-22,2023-03-24,2023-03-24,2023-02-22
99,7,397,85,19.11,received,2023-03-10,2023-03-17,2023-03-16,2023-03-10
100,9,289,275,56.38,received,2023-01-05,2023-01-18,2023-01-17,2023-01-05
101,6,370,260,128.4,received,2023-04-20,2023-04-23,2023-04-22,2023-04-20
102,10,352,101,65.03,received,2023-08-15,2023-08-24,2023-08-22,2023-08-15
103,3,386,229,66.08,received,2023-03-05,2023-03-29,2023-03-30,2023-03-05
104,7,162,177,403.13,received,2023-03-13,2023-03-20,2023-03-18,2023-03-13
105,9,308,448,25.9,received,2023-11-04,2023-11-17,2023-11-17,2023-11-04
106,12,14,315,9.76,received,2023-12-04,2023-12-08,2023-12-07,2023-12-04
107,10,261,380,179.6,received,2023-04-07,2023-04-16,2023-04-16,2023-04-07
108,1,402,173,273.72,received,2023-05-03,2023-05-05,2023-05-03,2023-05-03
109,8,327,234,151.87,received,2023-11-01,2023-11-27,2023-11-25,2023-11-01
110,15,163,237,106.24,received,2023-03-09,2023-03-16,2023-03-17,2023-03-09
111,9,350,58,17.73,received,2023-03-30,2023-04-12,2023-04-10,2023-03-30
112,10,35,80,113.42,received,2023-01-08,2023-01-17,2023-01-15,2023-01-08
113,13,204,266,18.28,received,2023-09-17,2023-10-17,2023-10-18,2023-09-17
114,12,206,192,229.74,received,2023-02-12,2023-02-16,2023-02-15,2023-02-12
115,2,159,463,32.49,received,2023-02-10,2023-02-15,2023-02-14,2023-02-10
116,3,275,208,74.0,received,2023-06-17,2023-07-11,2023-07-09,2023-06-17
117,12,224,272,80.38,received,2023-05-03,2023-05-07,2023-05-05,2023-05-03
118,2,233,391,91.67,received,2023-11-10,2023-11-15,2023-11-15,2023-11-10
119,12,337,409,76.6,received,2023-03-31,2023-04-04,2023-04-03,2023-03-31
120,1,84,314,30.39,received,2023-09-12,2023-09-14,2023-10-03,2023-09-12
121,13,422,433,37.61,received,2023-05-13,2023-06-12,2023-06-11,2023-05-13
122,13,448,444,37.19,received,2023-05-18,2023-06-17,2023-06-15,2023-05-18
123,15,16,318,13.03,received,2023-06-21,2023-06-28,2023-06-28,2023-06-21
124,2,135,304,69.63,received,2023-12-31,2024-01-05,2024-01-10,2023-12-31
125,8,262,238,281.19,received,2023-07-04,2023-07-30,2023-07-29,2023-07-04
126,3,131,166,52.45,received,2023-02-22,2023-03-18,2023-03-24,2023-02-22
127,12,261,175,179.6,received,2023-01-02,2023-01-06,2023-01-04,2023-01-02
128,1,242,141,44.02,received,2023-07-06,2023-07-08,2023-07-07,2023-07-06
129,15,492,164,193.96,received,2023-01-19,2023-01-26,2023-01-27,2023-01-19
130,6,128,188,141.45,received,2023-08-02,2023-08-05,2023-08-05,2023-08-02
131,14,40,141,123.48,received,2023-10-20,2023-10-30,2023-10-28,2023-10-20
132,4,412,85,183.53,received,2023-09-22,2023-09-30,2023-10-15,2023-09-22
133,15,239,217,29.7,received,2023-05-25,2023-06-01,2023-06-01,2023-05-25
134,2,284,199,5.35,received,2023-08-22,2023-08-27,2023-08-26,2023-08-22
135,10,402,287,273.72,received,2023-06-05,2023-06-14,2023-06-13,2023-06-05
136,6,303,425,143.01,received,2023-09-10,2023-09-13,2023-09-22,2023-09-10
137,15,280,62,9.09,received,2023-05-06,2023-05-13,2023-05-14,2023-05-06
138,4,278,221,56.25,received,2023-06-27,2023-07-05,2023-07-03,2023-06-27
139,1,389,103,13.04,received,2023-12-03,2023-12-05,2023-12-05,2023-12-03
140,4,272,122,163.5,received,2023-05-02,2023-05-10,2023-05-08,2023-05-02
141,12,144,482,87.14,received,2023-02-17,2023-02-21,2023-02-20,2023-02-17
142,9,212,432,38.82,received,2023-12-25,2024-01-07,2024-01-24,2023-12-25
143,2,298,88,66.8,received,2023-02-18,2023-02-23,2023-02-24,2023-02-18
144,10,291,171,51.74,received,2023-02-01,2023-02-10,2023-02-09,2023-02-01
145,5,134,408,78.62,received,2023-06-11,2023-06-16,2023-07-01,2023-06-11
146,14,377,169,31.02,received,2023-06-17,2023-06-27,2023-06-27,2023-06-17
147,2,484,129,14.33,received,2023-04-14,2023-04-19,2023-04-17,2023-04-14
148,2,85,111,33.89,received,2023-08-19,2023-08-24,2023-08-25,2023-08-19
149,9,184,185,92.74,received,2023-04-17,2023-04-30,2023-05-01,2023-04-17
150,14,62,473,16.65,received,2023-02-16,2023-02-26,2023-02-26,2023-02-16
151,12,357,125,79.2,received,2023-11-05,2023-11-09,2023-11-09,2023-11-05
152,2,365,312,8.08,received,2023-05-08,2023-05-13,2023-05-28,2023-05-08
153,1,347,65,16.83,received,2023-06-03,2023-06-05,2023-06-04,2023-06-03
154,7,438,98,163.91,received,2023-08-20,2023-08-27,2023-08-26,2023-08-20
155,8,53,475,86.88,received,2023-03-13,2023-04-08,2023-04-06,2023-03-13
156,13,114,240,157.24,received,2023-03-08,2023-04-07,2023-04-08,2023-03-08
157,11,323,466,23.01,received,2023-11-27,2023-11-29,2023-11-29,2023-11-27
158,2,12,464,19.93,received,2023-02-03,2023-02-08,2023-02-09,2023-02-03
159,3,48,75,10.97,received,2023-06-19,2023-07-13,2023-07-14,2023-06-19
160,3,474,304,166.88,received,2023-10-21,2023-11-14,2023-11-15,2023-10-21
161,1,196,159,64.78,received,2023-12-16,2023-12-18,2023-12-18,2023-12-16
162,15,96,67,10.94,received,2023-05-21,2023-05-28,2023-05-27,2023-05-21
163,10,318,305,11.19,received,2023-11-12,2023-11-21,2023-11-21,2023-11-12
164,7,452,193,60.08,received,2023-10-09,2023-10-16,2023-10-14,2023-10-09
165,7,71,372,65.88,received,2023-08-03,2023-08-10,2023-08-09,2023-08-03
166,13,279,295,8.08,received,2023-01-10,2023-02-09,2023-02-23,2023-01-10
167,9,401,248,18.57,received,2023-09-06,2023-09-19,2023-09-19,2023-09-06
168,5,93,65,53.04,received,2023-01-14,2023-01-19,2023-01-18,2023-01-14
169,15,416,321,68.28,received,2023-05-24,2023-05-31,2023-06-01,2023-05-24
170,6,393,101,103.58,received,2023-10-27,2023-10-30,2023-11-07,2023-10-27
171,4,337,441,76.6,received,2023-05-04,2023-05-12,2023-05-10,2023-05-04
172,4,295,140,320.95,received,2023-07-18,2023-07-26,2023-07-25,2023-07-18
173,4,304,352,96.61,received,2023-06-12,2023-06-20,2023-06-20,2023-06-12
174,1,361,338,241.22,received,2023-12-25,2023-12-27,2023-12-26,2023-12-25
175,4,429,301,43.35,received,2023-09-10,2023-09-18,2023-09-17,2023-09-10
176,1,47,60,419.22,received,2023-01-29,2023-01-31,2023-01-30,2023-01-29
177,9,245,462,80.59,received,2023-01-01,2023-01-14,2023-01-13,2023-01-01
178,3,175,80,353.66,received,2023-04-01,2023-04-25,2023-05-08,2023-04-01
179,1,76,446,22.08,received,2023-10-28,2023-10-30,2023-10-29,2023-10-28
180,2,434,241,119.19,received,2023-09-27,2023-10-02,2023-09-30,2023-09-27
181,12,483,222,37.13,received,2023-12-06,2023-12-10,2023-12-08,2023-12-06
182,5,166,455,154.94,received,2023-03-11,2023-03-16,2023-04-01,2023-03-11
183,11,492,412,193.96,received,2023-09-07,2023-09-09,2023-09-08,2023-09-07
184,9,356,390,23.63,received,2023-11-11,2023-11-24,2023-11-23,2023-11-11
185,10,418,115,180.46,received,2023-03-31,2023-04-09,2023-04-09,2023-03-31
186,3,374,250,103.3,received,2023-01-01,2023-01-25,2023-02-15,2023-01-01
187,14,395,464,109.86,received,2023-10-18,2023-10-28,2023-10-28,2023-10-18
188,10,114,122,157.24,received,2023-11-24,2023-12-03,2023-12-04,2023-11-24
189,6,382,135,43.88,received,2023-02-09,2023-02-12,2023-02-12,2023-02-09
190,11,454,278,56.98,received,2023-02-15,2023-02-17,2023-02-17,2023-02-15
191,1,136,229,144.73,received,2023-04-18,2023-04-20,2023-04-18,2023-04-18
192,5,403,247,31.8,received,2023-02-25,2023-03-02,2023-02-28,2023-02-25
193,8,376,302,131.84,received,2023-08-03,2023-08-29,2023-09-14,2023-08-03
194,15,194,474,369.8,received,2023-06-29,2023-07-06,2023-07-04,2023-06-29
195,8,404,133,44.47,received,2023-10-23,2023-11-18,2023-11-17,2023-10-23
196,8,38,183,148.28,received,2023-01-18,2023-02-13,2023-02-13,2023-01-18
197,2,38,132,148.28,received,2023-06-25,2023-06-30,2023-07-01,2023-06-25
198,12,39,223,78.61,received,2023-10-08,2023-10-12,2023-10-10,2023-10-08
199,10,315,384,289.71,received,2023-09-05,2023-09-14,2023-09-15,2023-09-05
200,3,311,219,281.11,received,2023-08-11,2023-09-04,2023-09-02,2023-08-11
201,4,499,388,45.63,received,2023-04-08,2023-04-16,2023-04-16,2023-04-08
202,5,153,342,43.83,received,2023-05-02,2023-05-07,2023-05-08,2023-05-02
203,9,431,51,404.21,received,2023-09-09,2023-09-22,2023-09-22,2023-09-09
204,7,45,152,6.05,received,2023-05-31,2023-06-07,2023-06-08,2023-05-31
205,2,14,91,9.76,received,2023-04-16,2023-04-21,2023-04-21,2023-04-16
206,8,433,291,160.25,received,2023-03-01,2023-03-27,2023-03-28,2023-03-01
207,8,459,144,308.12,received,2023-12-05,2023-12-31,2024-01-01,2023-12-05
208,6,454,72,56.98,received,2023-07-15,2023-07-18,2023-07-19,2023-07-15
209,5,226,338,4.79,received,2023-08-27,2023-09-01,2023-09-01,2023-08-27
210,1,78,392,51.35,received,2023-12-23,2023-12-25,2023-12-23,2023-12-23
211,6,414,333,78.32,received,2023-10-05,2023-10-08,2023-10-07,2023-10-05
212,1,431,324,404.21,received,2023-07-18,2023-07-20,2023-07-21,2023-07-18
213,11,444,293,8.49,received,2023-09-01,2023-09-03,2023-09-02,2023-09-01
214,5,41,307,37.95,received,2023-07-22,2023-07-27,2023-07-31,2023-07-22
215,10,462,111,258.01,received,2023-09-22,2023-10-01,2023-09-30,2023-09-22
216,13,230,158,65.35,received,2023-03-30,2023-04-29,2023-05-07,2023-03-30
217,13,99,399,252.13,received,2023-03-06,2023-04-05,2023-04-03,2023-03-06
218,7,104,213,27.59,received,2023-11-18,2023-11-25,2023-11-25,2023-11-18
219,15,373,332,26.18,received,2023-02-04,2023-02-11,2023-02-12,2023-02-04
220,6,439,452,98.91,received,2023-05-22,2023-05-25,2023-05-23,2023-05-22
221,12,320,107,130.95,received,2023-10-28,2023-11-01,2023-11-02,2023-10-28
222,7,77,104,21.79,received,2023-03-17,2023-03-24,2023-03-22,2023-03-17
223,10,400,499,179.45,received,2023-02-21,2023-03-02,2023-03-02,2023-02-21
224,7,136,69,144.73,received,2023-07-16,2023-07-23,2023-07-24,2023-07-16
225,3,142,69,37.44,received,2023-07-26,2023-08-19,2023-08-20,2023-07-26
226,7,456,431,405.86,received,2023-06-19,2023-06-26,2023-06-24,2023-06-19
227,8,472,222,68.11,received,2023-05-18,2023-06-13,2023-06-16,2023-05-18
228,14,407,489,71.31,received,2023-06-05,2023-06-15,2023-06-16,2023-06-05
229,12,351,118,65.15,received,2023-02-20,2023-02-24,2023-03-06,2023-02-20
230,5,499,187,45.63,received,2023-08-15,2023-08-20,2023-08-20,2023-08-15
231,12,214,276,149.3,received,2023-11-06,2023-11-10,2023-11-09,2023-11-06
232,4,468,470,82.71,received,2023-07-28,2023-08-05,2023-08-05,2023-07-28
233,1,264,119,213.02,received,2023-03-23,2023-03-25,2023-03-26,2023-03-23
234,13,436,138,197.96,received,2023-09-26,2023-10-26,2023-10-29,2023-09-26
235,4,449,66,95.28,received,2023-04-13,2023-04-21,2023-04-20,2023-04-13
236,8,26,238,27.24,received,2023-07-04,2023-07-30,2023-07-30,2023-07-04
237,14,238,398,36.46,received,2023-09-16,2023-09-26,2023-09-24,2023-09-16
238,1,124,140,187.37,received,2023-07-10,2023-07-12,2023-07-13,2023-07-10
239,14,243,133,15.99,received,2023-10-28,2023-11-07,2023-11-07,2023-10-28
240,14,458,195,19.85,received,2023-05-13,2023-05-23,2023-05-21,2023-05-13
241,1,198,488,15.92,received,2023-01-26,2023-01-28,2023-01-27,2023-01-26
242,4,332,383,91.51,received,2023-04-26,2023-05-04,2023-05-04,2023-04-26
243,7,263,292,30.66,received,2023-01-11,2023-01-18,2023-01-16,2023-01-11
244,15,68,164,49.96,received,2023-11-28,2023-12-05,2023-12-03,2023-11-28
245,5,312,266,55.84,received,2023-06-06,2023-06-11,2023-06-11,2023-06-06
246,15,193,288,79.2,received,2023-06-28,2023-07-05,2023-07-04,2023-06-28
247,5,347,349,16.83,received,2023-09-24,2023-09-29,2023-09-30,2023-09-24
248,2,4,337,71.79,received,2023-09-19,2023-09-24,2023-10-08,2023-09-19
249,11,305,296,133.07,received,2023-11-08,2023-11-10,2023-11-08,2023-11-08
250,2,173,183,62.3,received,2023-05-22,2023-05-27,2023-05-27,2023-05-22
251,11,365,314,8.08,received,2023-11-30,2023-12-02,2023-12-01,2023-11-30
252,13,124,388,187.37,received,2023-01-30,2023-03-01,2023-03-16,2023-01-30
253,6,349,201,92.4,received,2023-03-13,2023-03-16,2023-03-17,2023-03-13
254,5,465,348,250.73,received,2023-08-03,2023-08-08,2023-08-06,2023-08-03
255,12,293,401,65.69,received,2023-04-08,2023-04-12,2023-04-11,2023-04-08
256,9,327,309,151.87,received,2023-09-01,2023-09-14,2023-09-28,2023-09-01
257,5,433,200,160.25,received,2023-03-29,2023-04-03,2023-04-02,2023-03-29
258,2,242,398,44.02,received,2023-03-07,2023-03-12,2023-03-11,2023-03-07
259,15,172,164,109.89,received,2023-12-02,2023-12-09,2023-12-09,2023-12-02
260,12,447,240,12.47,received,2023-06-07,2023-06-11,2023-06-11,2023-06-07
261,5,300,290,35.8,received,2023-05-31,2023-06-05,2023-06-03,2023-05-31
262,1,444,291,8.49,received,2023-11-21,2023-11-23,2023-11-21,2023-11-21
263,15,100,321,112.77,received,2023-09-14,2023-09-21,2023-09-22,2023-09-14
264,5,212,120,38.82,received,2023-01-28,2023-02-02,2023-02-01,2023-01-28
265,4,176,123,215.1,received,2023-07-29,2023-08-06,2023-08-23,2023-07-29
266,6,442,220,109.11,received,2023-04-03,2023-04-06,2023-04-07,2023-04-03
267,11,91,281,52.01,received,2023-06-10,2023-06-12,2023-06-10,2023-06-10
268,5,108,300,109.81,received,2023-03-28,2023-04-02,2023-04-01,2023-03-28
269,13,391,374,36.84,received,2023-02-15,2023-03-17,2023-03-18,2023-02-15
270,7,207,52,160.37,received,2023-08-08,2023-08-15,2023-08-30,2023-08-08
271,1,274,214,46.29,received,2023-04-13,2023-04-15,2023-04-13,2023-04-13
272,13,427,370,37.3,received,2023-09-29,2023-10-29,2023-10-27,2023-09-29
273,12,128,209,141.45,received,2023-04-26,2023-04-30,2023-04-30,2023-04-26
274,3,53,135,86.88,received,2023-07-16,2023-08-09,2023-08-09,2023-07-16
275,2,422,283,37.61,received,2023-01-24,2023-01-29,2023-01-29,2023-01-24
276,12,267,401,132.74,received,2023-11-02,2023-11-06,2023-11-07,2023-11-02
277,3,176,134,215.1,received,2023-09-08,2023-10-02,2023-10-01,2023-09-08
278,15,471,422,79.48,received,2023-07-26,2023-08-02,2023-08-01,2023-07-26
279,3,109,113,79.78,received,2023-01-12,2023-02-05,2023-02-04,2023-01-12
280,6,365,498,8.08,received,2023-11-30,2023-12-03,2023-12-04,2023-11-30
281,11,131,388,52.45,received,2023-10-01,2023-10-03,2023-10-01,2023-10-01
282,2,335,263,63.98,received,2023-01-11,2023-01-16,2023-01-14,2023-01-11
283,8,195,409,66.54,received,2023-03-05,2023-03-31,2023-04-01,2023-03-05
284,3,106,204,32.27,received,2023-12-22,2024-01-15,2024-01-13,2023-12-22
285,7,339,368,53.19,received,2023-02-21,2023-02-28,2023-02-28,2023-02-21
286,10,359,311,34.85,received,2023-03-12,2023-03-21,2023-03-19,2023-03-12
287,12,317,304,345.75,received,2023-03-02,2023-03-06,2023-03-04,2023-03-02
288,4,312,233,55.84,received,2023-04-13,2023-04-21,2023-04-20,2023-04-13
289,12,210,156,107.29,received,2023-06-01,2023-06-05,2023-06-06,2023-06-01
290,12,478,56,211.66,received,2023-09-04,2023-09-08,2023-09-06,2023-09-04
291,11,46,126,349.76,received,2023-02-26,2023-02-28,2023-03-01,2023-02-26
292,2,400,181,179.45,received,2023-09-19,2023-09-24,2023-09-22,2023-09-19
293,11,119,185,62.94,received,2023-08-22,2023-08-24,2023-09-05,2023-08-22
294,8,26,486,27.24,received,2023-02-21,2023-03-19,2023-03-17,2023-02-21
295,5,185,98,122.62,received,2023-12-13,2023-12-18,2023-12-16,2023-12-13
296,14,389,389,13.04,received,2023-01-24,2023-02-03,2023-02-02,2023-01-24
297,11,88,368,16.53,received,2023-06-18,2023-06-20,2023-06-21,2023-06-18
298,5,450,143,85.58,received,2023-02-17,2023-02-22,2023-02-22,2023-02-17
299,2,206,477,229.74,received,2023-07-24,2023-07-29,2023-08-09,2023-07-24
300,7,354,107,9.86,received,2023-09-02,2023-09-09,2023-09-08,2023-09-02
301,3,357,103,79.2,received,2023-01-31,2023-02-24,2023-03-04,2023-01-31
302,7,467,142,46.24,received,2023-10-30,2023-11-06,2023-11-07,2023-10-30
303,10,195,297,66.54,received,2023-07-03,2023-07-12,2023-07-11,2023-07-03
304,15,250,73,102.4,received,2023-02-27,2023-03-06,2023-03-07,2023-02-27
305,2,134,392,78.62,received,2023-12-02,2023-12-07,2023-12-06,2023-12-02
306,14,174,271,193.87,received,2023-09-23,2023-10-03,2023-10-01,2023-09-23
307,11,373,126,26.18,received,2023-05-08,2023-05-10,2023-05-11,2023-05-08
308,14,424,55,14.56,received,2023-10-13,2023-10-23,2023-10-21,2023-10-13
309,11,479,486,128.45,received,2023-03-22,2023-03-24,2023-03-25,2023-03-22
310,8,446,214,4.06,received,2023-03-26,2023-04-21,2023-04-22,2023-03-26
311,4,170,331,113.26,received,2023-05-23,2023-05-31,2023-05-30,2023-05-23
312,11,194,285,369.8,received,2023-07-26,2023-07-28,2023-07-26,2023-07-26
313,8,411,278,111.03,received,2023-10-21,2023-11-16,2023-11-17,2023-10-21
314,6,61,102,41.46,received,2023-09-12,2023-09-15,2023-09-13,2023-09-12
315,7,212,472,38.82,received,2023-01-19,2023-01-26,2023-01-24,2023-01-19
316,2,406,310,49.96,received,2023-11-06,2023-11-11,2023-11-23,2023-11-06
317,9,106,236,32.27,received,2023-12-02,2023-12-15,2023-12-15,2023-12-02
318,14,28,336,121.28,received,2023-04-25,2023-05-05,2023-05-05,2023-04-25
319,13,318,416,11.19,received,2023-11-04,2023-12-04,2023-12-04,2023-11-04
320,8,59,51,145.12,received,2023-02-19,2023-03-17,2023-03-16,2023-02-19
321,6,182,330,153.05,received,2023-11-21,2023-11-24,2023-12-06,2023-11-21
322,9,192,302,51.08,received,2023-12-26,2024-01-08,2024-01-07,2023-12-26
323,3,421,146,52.62,received,2023-07-29,2023-08-22,2023-08-21,2023-07-29
324,2,477,416,126.78,received,2023-07-21,2023-07-26,2023-07-25,2023-07-21
325,6,56,445,41.85,received,2023-08-01,2023-08-04,2023-08-02,2023-08-01
326,15,231,305,97.56,received,2023-08-23,2023-08-30,2023-08-29,2023-08-23
327,1,272,479,163.5,received,2023-01-25,2023-01-27,2023-01-28,2023-01-25
328,10,248,404,18.05,received,2023-09-18,2023-09-27,2023-09-26,2023-09-18
329,10,89,308,42.24,received,2023-03-07,2023-03-16,2023-03-16,2023-03-07
330,15,197,190,79.1,received,2023-08-03,2023-08-10,2023-08-20,2023-08-03
331,7,494,462,407.92,received,2023-06-25,2023-07-02,2023-07-19,2023-06-25
