inventory_id,sku_id,quantity_on_hand,quantity_reserved,quantity_available,reorder_point,last_updated
196,225,1287,142,1145,190,2023-12-31
197,226,338,51,287,45,2023-12-31
198,227,1347,228,1119,41,2023-12-31
199,228,245,65,180,37,2023-12-31
200,229,663,169,494,116,2023-12-31
201,230,744,95,649,10,2023-12-31
202,231,727,175,552,96,2023-12-31
203,232,674,75,599,31,2023-12-31
204,233,947,172,775,20,2023-12-31
205,235,653,92,561,67,2023-12-31
206,236,1383,412,971,164,2023-12-31
207,237,299,66,233,192,2023-12-31
208,238,462,46,416,81,2023-12-31
209,239,583,134,449,61,2023-12-31
210,241,246,58,188,25,2023-12-31
211,242,1087,128,959,34,2023-12-31
212,243,133,38,95,100,2023-12-31
213,244,662,67,595,32,2023-12-31
214,245,1157,333,824,13,2023-12-31
215,247,383,45,338,173,2023-12-31
216,248,681,151,530,56,2023-12-31
217,249,669,109,560,12,2023-12-31
218,250,168,41,127,38,2023-12-31
219,251,844,93,751,22,2023-12-31
220,252,977,106,871,54,2023-12-31
221,253,752,164,588,187,2023-12-31
222,254,461,134,327,15,2023-12-31
223,255,663,182,481,100,2023-12-31
224,256,63,13,50,28,2023-12-31
225,257,852,123,729,46,2023-12-31
226,258,73,14,59,45,2023-12-31
227,259,511,109,402,152,2023-12-31
228,260,809,177,632,17,2023-12-31
229,261,933,170,763,49,2023-12-31
230,262,1155,298,857,59,2023-12-31
231,263,721,101,620,15,2023-12-31
232,264,119,16,103,14,2023-12-31
233,265,931,99,832,52,2023-12-31
234,266,556,94,462,171,2023-12-31
235,267,1013,183,830,14,2023-12-31
236,268,77,14,63,63,2023-12-31
237,269,695,130,565,167,2023-12-31
238,270,176,29,147,119,2023-12-31
239,272,974,109,865,37,2023-12-31
240,273,1755,189,1566,78,2023-12-31
241,274,1410,306,1104,26,2023-12-31
242,275,765,212,553,22,2023-12-31
243,276,154,32,122,70,2023-12-31
244,277,1199,211,988,35,2023-12-31
245,278,599,169,430,169,2023-12-31
246,279,295,49,246,157,2023-12-31
247,280,1204,290,914,73,2023-12-31
248,281,1057,236,821,33,2023-12-31
249,282,769,224,545,63,2023-12-31
250,283,286,39,247,88,2023-12-31
251,284,199,41,158,142,2023-12-31
252,285,441,53,388,29,2023-12-31
253,286,606,149,457,88,2023-12-31
254,287,1884,523,1361,16,2023-12-31
255,288,807,155,652,16,2023-12-31
256,289,561,123,438,51,2023-12-31
257,290,343,56,287,38,2023-12-31
258,291,446,105,341,21,2023-12-31
259,292,779,104,675,75,2023-12-31
260,293,1485,258,1227,27,2023-12-31
261,294,1874,449,1425,110,2023-12-31
262,295,1217,364,853,18,2023-12-31
263,296,778,106,672,140,2023-12-31
264,297,563,96,467,20,2023-12-31
265,298,503,136,367,197,2023-12-31
266,299,66,7,59,23,2023-12-31
267,300,556,151,405,47,2023-12-31
268,301,89,13,76,31,2023-12-31
269,303,1102,117,985,52,2023-12-31
270,304,963,115,848,22,2023-12-31
271,305,1153,310,843,88,2023-12-31
272,306,967,106,861,47,2023-12-31
273,308,913,214,699,51,2023-12-31
274,309,136,31,105,10,2023-12-31
275,310,492,145,347,93,2023-12-31
276,311,933,133,800,10,2023-12-31
277,312,499,70,429,10,2023-12-31
278,313,922,143,779,52,2023-12-31
279,314,420,77,343,89,2023-12-31
280,315,1040,117,923,50,2023-12-31
281,316,336,74,262,31,2023-12-31
282,317,1105,305,800,44,2023-12-31
283,318,1019,175,844,25,2023-12-31
284,319,302,85,217,31,2023-12-31
285,320,962,124,838,14,2023-12-31
286,321,1056,112,944,152,2023-12-31
287,322,576,165,411,11,2023-12-31
288,323,1719,308,1411,85,2023-12-31
289,324,523,60,463,149,2023-12-31
290,325,187,36,151,105,2023-12-31
291,326,1031,308,723,18,2023-12-31
292,327,1238,301,937,22,2023-12-31
293,328,1083,231,852,69,2023-12-31
294,329,856,205,651,147,2023-12-31
295,331,967,97,870,34,2023-12-31
296,332,745,187,558,71,2023-12-31
297,333,1678,170,1508,120,2023-12-31
298,334,1143,303,840,81,2023-12-31
299,335,451,133,318,66,2023-12-31
300,336,919,257,662,16,2023-12-31
301,337,1486,285,1201,47,2023-12-31
302,338,1402,157,1245,123,2023-12-31
303,339,557,133,424,24,2023-12-31
304,340,1306,210,1096,54,2023-12-31
305,342,311,76,235,104,2023-12-31
306,343,108,24,84,12,2023-12-31
307,344,1633,279,1354,44,2023-12-31
308,345,350,73,277,152,2023-12-31
309,346,655,97,558,57,2023-12-31
310,347,996,176,820,18,2023-12-31
311,348,156,34,122,68,2023-12-31
312,349,553,161,392,46,2023-12-31
313,350,364,76,288,30,2023-12-31
314,351,892,242,650,20,2023-12-31
315,352,622,136,486,99,2023-12-31
316,353,203,32,171,24,2023-12-31
317,354,408,118,290,130,2023-12-31
318,355,780,202,578,39,2023-12-31
319,356,1541,268,1273,166,2023-12-31
320,357,1621,245,1376,48,2023-12-31
321,358,1416,177,1239,15,2023-12-31
322,359,587,152,435,120,2023-12-31
323,360,298,30,268,20,2023-12-31
324,361,699,83,616,177,2023-12-31
325,362,715,81,634,100,2023-12-31
326,363,482,98,384,10,2023-12-31
327,365,2008,476,1532,56,2023-12-31
328,366,1113,134,979,37,2023-12-31
329,367,436,62,374,45,2023-12-31
330,368,1399,293,1106,30,2023-12-31
331,369,475,101,374,40,2023-12-31
332,370,426,56,370,188,2023-12-31
333,371,394,83,311,13,2023-12-31
334,372,77,19,58,25,2023-12-31
335,373,566,110,456,197,2023-12-31
336,374,655,177,478,34,2023-12-31
337,376,435,96,339,47,2023-12-31
338,377,437,85,352,82,2023-12-31
339,378,256,42,214,16,2023-12-31
340,379,95,28,67,60,2023-12-31
341,381,913,120,793,106,2023-12-31
342,382,113,16,97,18,2023-12-31
343,383,448,100,348,58,2023-12-31
344,384,1062,118,944,27,2023-12-31
345,386,1037,204,833,23,2023-12-31
346,387,689,169,520,195,2023-12-31
347,388,1076,121,955,146,2023-12-31
348,389,854,206,648,189,2023-12-31
349,390,395,97,298,18,2023-12-31
350,391,874,93,781,126,2023-12-31
351,392,867,249,618,24,2023-12-31
352,393,1146,309,837,38,2023-12-31
353,394,397,79,318,116,2023-12-31
354,395,930,138,792,12,2023-12-31
355,396,144,40,104,42,2023-12-31
356,397,572,67,505,53,2023-12-31
357,398,122,18,104,13,2023-12-31
358,399,343,57,286,64,2023-12-31
359,400,1468,280,1188,47,2023-12-31
360,401,1071,127,944,18,2023-12-31
361,402,1285,325,960,51,2023-12-31
362,403,942,280,662,14,2023-12-31
363,404,609,118,491,12,2023-12-31
364,405,105,28,77,43,2023-12-31
365,406,1400,201,1199,51,2023-12-31
366,407,1364,204,1160,194,2023-12-31
367,408,374,42,332,20,2023-12-31
368,409,377,49,328,110,2023-12-31
369,410,553,101,452,82,2023-12-31
370,411,410,71,339,36,2023-12-31
371,412,974,261,713,79,2023-12-31
372,414,202,35,167,19,2023-12-31
373,415,474,55,419,33,2023-12-31
374,416,1055,181,874,28,2023-12-31
375,417,656,167,489,29,2023-12-31
376,418,479,110,369,35,2023-12-31
377,419,349,103,246,69,2023-12-31
378,421,146,37,109,64,2023-12-31
379,422,1257,230,1027,69,2023-12-31
380,424,534,93,441,18,2023-12-31
381,425,826,222,604,149,2023-12-31
382,426,717,198,519,28,2023-12-31
383,427,616,180,436,63,2023-12-31
384,429,301,70,231,45,2023-12-31
385,430,1063,254,809,19,2023-12-31
386,431,375,45,330,82,2023-12-31
387,432,872,241,631,41,2023-12-31
388,433,427,123,304,93,2023-12-31
389,434,1891,226,1665,19,2023-12-31
390,435,223,50,173,15,2023-12-31
391,436,138,31,107,34,2023-12-31
392,437,489,74,415,85,2023-12-31
393,438,1081,282,799,28,2023-12-31
394,439,951,275,676,73,2023-12-31
395,440,628,108,520,25,2023-12-31
396,441,800,121,679,52,2023-12-31
397,442,835,96,739,43,2023-12-31
398,444,511,102,409,103,2023-12-31
399,445,1377,239,1138,34,2023-12-31
400,446,214,60,154,27,2023-12-31
401,447,730,145,585,158,2023-12-31
402,448,935,226,709,50,2023-12-31
403,449,118,19,99,25,2023-12-31
404,450,143,26,117,27,2023-12-31
405,452,276,49,227,42,2023-12-31
406,453,582,102,480,77,2023-12-31
407,454,1065,299,766,55,2023-12-31
408,455,1381,232,1149,51,2023-12-31
409,456,1045,250,795,101,2023-12-31
410,457,619,176,443,69,2023-12-31
411,458,882,103,779,35,2023-12-31
412,459,256,56,200,33,2023-12-31
413,460,723,155,568,69,2023-12-31
414,461,1350,184,1166,50,2023-12-31
415,462,364,99,265,25,2023-12-31
416,463,82,14,68,191,2023-12-31
417,464,132,20,112,28,2023-12-31
418,465,348,38,310,66,2023-12-31
419,466,466,100,366,20,2023-12-31
420,467,1101,317,784,30,2023-12-31
421,468,487,135,352,95,2023-12-31
422,470,58,11,47,64,2023-12-31
423,471,464,67,397,11,2023-12-31
424,472,525,108,417,187,2023-12-31
425,473,869,173,696,167,2023-12-31
426,474,1205,154,1051,33,2023-12-31
427,475,151,37,114,157,2023-12-31
428,476,259,40,219,33,2023-12-31
429,477,577,151,426,67,2023-12-31
430,478,696,129,567,26,2023-12-31
431,479,748,114,634,41,2023-12-31
432,480,704,77,627,20,2023-12-31
433,482,476,130,346,43,2023-12-31
434,483,222,40,182,97,2023-12-31
435,484,256,36,220,38,2023-12-31
436,485,445,56,389,155,2023-12-31
437,486,277,50,227,79,2023-12-31
438,487,610,74,536,12,2023-12-31
439,488,48,13,35,180,2023-12-31
440,490,262,68,194,84,2023-12-31
441,491,351,36,315,43,2023-12-31
442,492,576,133,443,105,2023-12-31
443,493,110,31,79,21,2023-12-31
444,494,1373,337,1036,69,2023-12-31
445,495,182,29,153,17,2023-12-31
446,496,1172,216,956,69,2023-12-31
447,499,575,168,407,188,2023-12-31
448,500,439,111,328,98,2023-12-31
