receiving_id,po_id,sku_id,employee_id,received_qty,damaged_qty,received_at,putaway_at,location_code,notes,created_at
24,24,195,35,467,9,2023-06-28 03:00:00,2023-06-28 10:00:00,B-02-05,,2023-06-28 03:00:00
25,25,441,28,203,3,2023-12-17 02:00:00,2023-12-17 08:00:00,B-02-03,,2023-12-17 02:00:00
26,26,309,28,136,3,2023-12-25 02:00:00,2023-12-25 04:00:00,D-20-01,,2023-12-25 02:00:00
27,27,496,31,344,7,2023-06-21 03:00:00,2023-06-21 11:00:00,E-15-02,,2023-06-21 03:00:00
28,28,125,32,236,3,2023-07-17 04:00:00,2023-07-17 12:00:00,D-09-05,,2023-07-17 04:00:00
29,29,478,29,399,9,2023-10-20 01:00:00,2023-10-20 05:00:00,B-07-04,,2023-10-20 01:00:00
30,30,282,27,412,3,2023-03-02 04:00:00,2023-03-02 07:00:00,C-09-05,,2023-03-02 04:00:00
31,31,225,33,469,1,2023-06-05 04:00:00,2023-06-05 10:00:00,B-19-01,,2023-06-05 04:00:00
32,32,408,33,374,3,2023-08-07 04:00:00,2023-08-07 12:00:00,D-14-03,,2023-08-07 04:00:00
33,33,124,31,454,5,2023-05-16 02:00:00,2023-05-16 10:00:00,B-09-01,,2023-05-16 02:00:00
34,34,38,27,248,3,2023-09-12 01:00:00,2023-09-12 06:00:00,B-04-01,,2023-09-12 01:00:00
35,35,274,30,328,5,2023-10-10 03:00:00,2023-10-10 07:00:00,C-09-03,,2023-10-10 03:00:00
36,36,405,31,105,1,2023-07-04 02:00:00,2023-07-04 07:00:00,A-10-03,,2023-07-04 02:00:00
37,37,128,32,381,4,2024-01-01 04:00:00,2024-01-01 05:00:00,D-17-02,,2024-01-01 04:00:00
38,38,23,34,435,9,2023-11-09 02:00:00,2023-11-09 10:00:00,B-17-05,,2023-11-09 02:00:00
39,39,495,32,182,3,2023-08-10 04:00:00,2023-08-10 10:00:00,A-11-02,,2023-08-10 04:00:00
40,40,262,31,278,5,2023-09-30 02:00:00,2023-09-30 10:00:00,D-18-01,,2023-09-30 02:00:00
41,41,201,29,226,5,2023-08-28 03:00:00,2023-08-28 04:00:00,D-12-03,,2023-08-28 03:00:00
42,42,248,35,109,2,2023-02-23 04:00:00,2023-02-23 09:00:00,C-19-01,,2023-02-23 04:00:00
43,43,482,35,283,7,2023-03-24 02:00:00,2023-03-24 08:00:00,E-20-05,,2023-03-24 02:00:00
44,44,106,33,97,0,2023-10-25 04:00:00,2023-10-25 06:00:00,E-13-02,,2023-10-25 04:00:00
45,45,370,34,203,3,2024-01-16 04:00:00,2024-01-16 09:00:00,A-06-01,,2024-01-16 04:00:00
46,46,415,32,381,9,2024-01-01 04:00:00,2024-01-01 05:00:00,B-07-01,,2024-01-01 04:00:00
47,47,347,26,314,2,2023-04-10 01:00:00,2023-04-10 09:00:00,A-12-05,,2023-04-10 01:00:00
48,48,283,34,286,7,2023-04-17 04:00:00,2023-04-17 11:00:00,B-04-02,,2023-04-17 04:00:00
49,49,409,32,377,8,2023-08-03 04:00:00,2023-08-03 08:00:00,B-07-03,,2023-08-03 04:00:00
50,50,222,29,240,1,2023-07-23 03:00:00,2023-07-23 07:00:00,E-15-03,,2023-07-23 03:00:00
51,51,220,31,155,0,2023-07-27 01:00:00,2023-07-27 08:00:00,E-08-05,,2023-07-27 01:00:00
52,52,386,30,325,4,2023-12-30 01:00:00,2023-12-30 03:00:00,C-15-03,,2023-12-30 01:00:00
53,53,410,32,150,3,2023-10-07 02:00:00,2023-10-07 09:00:00,B-06-05,,2023-10-07 02:00:00
54,54,59,28,320,8,2023-06-11 02:00:00,2023-06-11 04:00:00,D-02-02,,2023-06-11 02:00:00
55,55,161,34,350,6,2023-11-05 03:00:00,2023-11-05 05:00:00,B-16-04,,2023-11-05 03:00:00
56,56,179,30,466,5,2023-07-04 01:00:00,2023-07-04 07:00:00,D-15-02,,2023-07-04 01:00:00
57,57,362,32,394,0,2023-06-02 01:00:00,2023-06-02 03:00:00,D-13-03,,2023-06-02 01:00:00
58,58,161,33,107,0,2023-03-24 01:00:00,2023-03-24 04:00:00,C-15-04,,2023-03-24 01:00:00
59,59,356,28,355,5,2023-03-18 02:00:00,2023-03-18 10:00:00,B-16-03,,2023-03-18 02:00:00
60,60,295,32,375,0,2023-08-10 01:00:00,2023-08-10 04:00:00,C-04-05,,2023-08-10 01:00:00
61,61,356,28,334,6,2023-12-18 01:00:00,2023-12-18 06:00:00,B-15-03,,2023-12-18 01:00:00
62,62,251,32,481,0,2023-06-21 02:00:00,2023-06-21 10:00:00,A-17-01,,2023-06-21 02:00:00
63,63,318,31,298,3,2023-02-26 01:00:00,2023-02-26 02:00:00,D-07-02,,2023-02-26 01:00:00
64,64,100,29,260,0,2023-08-28 01:00:00,2023-08-28 02:00:00,C-07-01,,2023-08-28 01:00:00
65,65,210,27,191,4,2024-01-13 02:00:00,2024-01-13 05:00:00,A-14-05,,2024-01-13 02:00:00
66,66,43,29,144,2,2023-11-09 02:00:00,2023-11-09 09:00:00,D-04-02,,2023-11-09 02:00:00
67,67,141,29,449,4,2023-04-27 01:00:00,2023-04-27 08:00:00,C-01-04,,2023-04-27 01:00:00
68,68,290,32,343,0,2023-10-05 03:00:00,2023-10-05 09:00:00,A-03-02,,2023-10-05 03:00:00
69,69,138,31,327,5,2023-10-11 01:00:00,2023-10-11 04:00:00,C-04-05,,2023-10-11 01:00:00
70,70,388,27,286,5,2023-02-02 02:00:00,2023-02-02 08:00:00,B-11-04,,2023-02-02 02:00:00
71,71,218,35,202,3,2023-03-01 04:00:00,2023-03-01 11:00:00,E-08-05,,2023-03-01 04:00:00
72,72,17,29,274,0,2023-08-27 01:00:00,2023-08-27 03:00:00,C-08-04,,2023-08-27 01:00:00
73,73,61,32,490,0,2023-05-12 03:00:00,2023-05-12 11:00:00,C-07-02,,2023-05-12 03:00:00
74,74,313,26,451,0,2023-11-23 04:00:00,2023-11-23 10:00:00,B-09-03,,2023-11-23 04:00:00
75,75,417,29,322,9,2023-04-24 03:00:00,2023-04-24 04:00:00,B-11-03,,2023-04-24 03:00:00
76,76,306,31,198,0,2023-10-08 02:00:00,2023-10-08 06:00:00,E-13-05,,2023-10-08 02:00:00
77,77,137,28,119,2,2023-10-06 01:00:00,2023-10-06 09:00:00,A-07-01,,2023-10-06 01:00:00
78,78,403,33,319,1,2023-09-09 02:00:00,2023-09-09 06:00:00,E-03-04,,2023-09-09 02:00:00
79,79,65,30,124,2,2023-12-27 02:00:00,2023-12-27 09:00:00,B-20-02,,2023-12-27 02:00:00
80,80,165,32,300,4,2023-05-12 02:00:00,2023-05-12 07:00:00,D-03-03,,2023-05-12 02:00:00
81,81,296,32,242,3,2023-12-15 04:00:00,2023-12-15 11:00:00,B-16-01,,2023-12-15 04:00:00
82,82,39,32,256,0,2023-12-15 03:00:00,2023-12-15 06:00:00,E-06-03,,2023-12-15 03:00:00
83,83,384,33,282,3,2023-06-05 04:00:00,2023-06-05 12:00:00,A-11-02,,2023-06-05 04:00:00
84,84,168,32,424,11,2023-11-18 01:00:00,2023-11-18 02:00:00,E-12-04,,2023-11-18 01:00:00
85,85,326,27,441,12,2023-12-31 03:00:00,2023-12-31 10:00:00,D-10-05,,2023-12-31 03:00:00
86,86,204,32,303,0,2023-05-14 01:00:00,2023-05-14 08:00:00,E-06-02,,2023-05-14 01:00:00
87,87,166,32,305,6,2023-05-30 03:00:00,2023-05-30 11:00:00,C-02-04,,2023-05-30 03:00:00
88,88,249,35,73,0,2023-07-03 01:00:00,2023-07-03 07:00:00,A-05-03,,2023-07-03 01:00:00
89,89,321,26,275,5,2023-08-28 03:00:00,2023-08-28 07:00:00,E-19-02,,2023-08-28 03:00:00
90,90,1,29,382,1,2023-09-02 04:00:00,2023-09-02 11:00:00,E-03-05,,2023-09-02 04:00:00
91,91,82,27,118,1,2023-05-26 03:00:00,2023-05-26 10:00:00,E-10-04,,2023-05-26 03:00:00
92,92,191,30,76,1,2023-12-11 03:00:00,2023-12-11 06:00:00,C-07-04,,2023-12-11 03:00:00
93,93,321,34,269,1,2023-06-12 04:00:00,2023-06-12 05:00:00,A-03-04,,2023-06-12 04:00:00
94,94,47,28,294,2,2023-12-28 04:00:00,2023-12-28 07:00:00,B-12-02,,2023-12-28 04:00:00
95,95,68,29,54,0,2023-11-06 01:00:00,2023-11-06 09:00:00,E-07-02,,2023-11-06 01:00:00
96,96,357,27,405,2,2023-06-28 02:00:00,2023-06-28 07:00:00,D-15-05,,2023-06-28 02:00:00
97,97,245,26,281,2,2023-02-28 04:00:00,2023-02-28 06:00:00,C-03-03,,2023-02-28 04:00:00
98,98,53,35,120,1,2023-03-24 01:00:00,2023-03-24 02:00:00,A-09-01,,2023-03-24 01:00:00
99,99,397,30,85,0,2023-03-16 02:00:00,2023-03-16 03:00:00,D-20-05,,2023-03-16 02:00:00
100,100,289,29,215,2,2023-01-17 04:00:00,2023-01-17 10:00:00,C-11-03,,2023-01-17 04:00:00
101,101,370,33,223,2,2023-04-22 01:00:00,2023-04-22 07:00:00,C-04-01,,2023-04-22 01:00:00
102,102,352,30,76,1,2023-08-22 02:00:00,2023-08-22 03:00:00,E-04-05,,2023-08-22 02:00:00
103,103,386,26,204,1,2023-03-30 04:00:00,2023-03-30 12:00:00,E-14-02,,2023-03-30 04:00:00
104,104,162,29,172,4,2023-03-18 01:00:00,2023-03-18 07:00:00,A-11-04,,2023-03-18 01:00:00
105,105,308,32,448,5,2023-11-17 01:00:00,2023-11-17 07:00:00,D-16-01,,2023-11-17 01:00:00
106,106,14,30,315,1,2023-12-07 02:00:00,2023-12-07 03:00:00,B-16-01,,2023-12-07 02:00:00
107,107,261,34,375,11,2023-04-16 04:00:00,2023-04-16 07:00:00,D-04-04,,2023-04-16 04:00:00
108,108,402,31,173,1,2023-05-03 01:00:00,2023-05-03 03:00:00,D-01-02,,2023-05-03 01:00:00
109,109,327,33,210,1,2023-11-25 03:00:00,2023-11-25 11:00:00,A-05-05,,2023-11-25 03:00:00
110,110,163,34,237,4,2023-03-17 02:00:00,2023-03-17 04:00:00,C-13-04,,2023-03-17 02:00:00
111,111,350,27,44,0,2023-04-10 03:00:00,2023-04-10 05:00:00,C-03-01,,2023-04-10 03:00:00
112,112,35,31,80,1,2023-01-15 02:00:00,2023-01-15 04:00:00,E-12-02,,2023-01-15 02:00:00
113,113,204,31,219,0,2023-10-18 01:00:00,2023-10-18 05:00:00,D-14-03,,2023-10-18 01:00:00
114,114,206,34,192,5,2023-02-15 02:00:00,2023-02-15 06:00:00,A-13-01,,2023-02-15 02:00:00
115,115,159,35,334,8,2023-02-14 03:00:00,2023-02-14 07:00:00,D-15-02,,2023-02-14 03:00:00
116,116,275,30,208,4,2023-07-09 01:00:00,2023-07-09 07:00:00,C-17-01,,2023-07-09 01:00:00
117,117,224,31,238,3,2023-05-05 02:00:00,2023-05-05 10:00:00,C-13-01,,2023-05-05 02:00:00
118,118,233,30,391,8,2023-11-15 02:00:00,2023-11-15 03:00:00,B-16-04,,2023-11-15 02:00:00
119,119,337,31,350,8,2023-04-03 01:00:00,2023-04-03 08:00:00,C-14-04,,2023-04-03 01:00:00
120,120,84,27,314,3,2023-10-03 03:00:00,2023-10-03 08:00:00,B-18-04,,2023-10-03 03:00:00
121,121,422,28,433,9,2023-06-11 01:00:00,2023-06-11 06:00:00,D-06-05,,2023-06-11 01:00:00
122,122,448,31,444,6,2023-06-15 02:00:00,2023-06-15 06:00:00,B-07-01,,2023-06-15 02:00:00
123,123,16,27,318,5,2023-06-28 02:00:00,2023-06-28 09:00:00,D-06-01,,2023-06-28 02:00:00
124,124,135,32,304,4,2024-01-10 01:00:00,2024-01-10 03:00:00,E-11-05,,2024-01-10 01:00:00
125,125,262,30,200,2,2023-07-29 01:00:00,2023-07-29 03:00:00,B-13-04,,2023-07-29 01:00:00
126,126,131,33,166,4,2023-03-24 04:00:00,2023-03-24 06:00:00,D-13-03,,2023-03-24 04:00:00
127,127,261,26,175,0,2023-01-04 01:00:00,2023-01-04 03:00:00,D-17-02,,2023-01-04 01:00:00
128,128,242,32,141,4,2023-07-07 04:00:00,2023-07-07 09:00:00,A-19-02,,2023-07-07 04:00:00
129,129,492,31,164,3,2023-01-27 04:00:00,2023-01-27 09:00:00,E-05-01,,2023-01-27 04:00:00
130,130,128,34,188,5,2023-08-05 02:00:00,2023-08-05 09:00:00,A-13-05,,2023-08-05 02:00:00
131,131,40,35,141,2,2023-10-28 01:00:00,2023-10-28 03:00:00,B-04-02,,2023-10-28 01:00:00
132,132,412,35,85,0,2023-10-15 04:00:00,2023-10-15 10:00:00,A-02-02,,2023-10-15 04:00:00
133,133,239,30,217,1,2023-06-01 03:00:00,2023-06-01 04:00:00,A-04-05,,2023-06-01 03:00:00
134,134,284,34,199,3,2023-08-26 04:00:00,2023-08-26 05:00:00,B-10-01,,2023-08-26 04:00:00
135,135,402,35,205,3,2023-06-13 02:00:00,2023-06-13 10:00:00,C-17-03,,2023-06-13 02:00:00
136,136,303,28,425,2,2023-09-22 01:00:00,2023-09-22 02:00:00,B-02-02,,2023-09-22 01:00:00
137,137,280,28,62,1,2023-05-14 02:00:00,2023-05-14 06:00:00,E-12-03,,2023-05-14 02:00:00
138,138,278,33,221,2,2023-07-03 03:00:00,2023-07-03 08:00:00,D-06-04,,2023-07-03 03:00:00
139,139,389,30,103,0,2023-12-05 04:00:00,2023-12-05 07:00:00,E-07-01,,2023-12-05 04:00:00
140,140,272,32,106,0,2023-05-08 03:00:00,2023-05-08 06:00:00,D-05-03,,2023-05-08 03:00:00
141,141,144,27,482,13,2023-02-20 02:00:00,2023-02-20 04:00:00,C-04-05,,2023-02-20 02:00:00
142,142,212,28,432,5,2024-01-24 03:00:00,2024-01-24 05:00:00,C-11-03,,2024-01-24 03:00:00
143,143,298,28,60,0,2023-02-24 04:00:00,2023-02-24 08:00:00,D-04-01,,2023-02-24 04:00:00
144,144,291,30,171,4,2023-02-09 04:00:00,2023-02-09 06:00:00,E-12-05,,2023-02-09 04:00:00
145,145,134,31,408,7,2023-07-01 01:00:00,2023-07-01 04:00:00,C-13-02,,2023-07-01 01:00:00
146,146,377,26,146,3,2023-06-27 04:00:00,2023-06-27 12:00:00,E-05-03,,2023-06-27 04:00:00
147,147,484,26,129,2,2023-04-17 02:00:00,2023-04-17 05:00:00,D-19-03,,2023-04-17 02:00:00
148,148,85,31,94,1,2023-08-25 02:00:00,2023-08-25 09:00:00,D-06-04,,2023-08-25 02:00:00
149,149,184,27,185,2,2023-05-01 03:00:00,2023-05-01 10:00:00,E-08-03,,2023-05-01 03:00:00
150,150,62,28,358,3,2023-02-26 01:00:00,2023-02-26 03:00:00,A-08-01,,2023-02-26 01:00:00
151,151,357,28,125,0,2023-11-09 03:00:00,2023-11-09 11:00:00,A-14-05,,2023-11-09 03:00:00
152,152,365,26,312,4,2023-05-28 01:00:00,2023-05-28 08:00:00,A-20-02,,2023-05-28 01:00:00
153,153,347,35,65,1,2023-06-04 03:00:00,2023-06-04 07:00:00,E-20-01,,2023-06-04 03:00:00
154,154,438,34,98,0,2023-08-26 02:00:00,2023-08-26 05:00:00,A-12-02,,2023-08-26 02:00:00
155,155,53,31,475,0,2023-04-06 04:00:00,2023-04-06 11:00:00,B-12-01,,2023-04-06 04:00:00
156,156,114,30,167,2,2023-04-08 01:00:00,2023-04-08 06:00:00,C-16-03,,2023-04-08 01:00:00
157,157,323,33,466,10,2023-11-29 04:00:00,2023-11-29 08:00:00,C-17-01,,2023-11-29 04:00:00
158,158,12,27,431,0,2023-02-09 01:00:00,2023-02-09 09:00:00,C-10-03,,2023-02-09 01:00:00
159,159,48,32,75,2,2023-07-14 02:00:00,2023-07-14 09:00:00,C-01-01,,2023-07-14 02:00:00
160,160,474,28,304,0,2023-11-15 02:00:00,2023-11-15 09:00:00,A-16-01,,2023-11-15 02:00:00
161,161,196,32,159,1,2023-12-18 04:00:00,2023-12-18 11:00:00,C-10-03,,2023-12-18 04:00:00
162,162,96,32,54,0,2023-05-27 04:00:00,2023-05-27 12:00:00,B-05-03,,2023-05-27 04:00:00
163,163,318,28,305,8,2023-11-21 02:00:00,2023-11-21 04:00:00,B-10-01,,2023-11-21 02:00:00
164,164,452,27,193,4,2023-10-14 01:00:00,2023-10-14 04:00:00,B-16-03,,2023-10-14 01:00:00
165,165,71,28,372,6,2023-08-09 02:00:00,2023-08-09 08:00:00,D-17-04,,2023-08-09 02:00:00
166,166,279,26,295,0,2023-02-23 01:00:00,2023-02-23 04:00:00,B-12-05,,2023-02-23 01:00:00
167,167,401,33,248,1,2023-09-19 03:00:00,2023-09-19 10:00:00,E-01-04,,2023-09-19 03:00:00
168,168,93,28,65,0,2023-01-18 04:00:00,2023-01-18 08:00:00,E-05-05,,2023-01-18 04:00:00
169,169,416,27,321,7,2023-06-01 03:00:00,2023-06-01 07:00:00,D-07-04,,2023-06-01 03:00:00
170,170,393,27,101,1,2023-11-07 02:00:00,2023-11-07 06:00:00,E-05-02,,2023-11-07 02:00:00
171,171,337,29,441,0,2023-05-10 02:00:00,2023-05-10 05:00:00,D-01-05,,2023-05-10 02:00:00
172,172,295,32,140,0,2023-07-25 04:00:00,2023-07-25 09:00:00,B-08-03,,2023-07-25 04:00:00
173,173,304,30,352,5,2023-06-20 01:00:00,2023-06-20 06:00:00,A-09-03,,2023-06-20 01:00:00
174,174,361,31,296,2,2023-12-26 01:00:00,2023-12-26 04:00:00,A-01-01,,2023-12-26 01:00:00
175,175,429,31,301,4,2023-09-17 01:00:00,2023-09-17 08:00:00,B-09-04,,2023-09-17 01:00:00
176,176,47,35,60,0,2023-01-30 01:00:00,2023-01-30 04:00:00,C-12-03,,2023-01-30 01:00:00
177,177,245,27,462,5,2023-01-13 03:00:00,2023-01-13 07:00:00,E-13-01,,2023-01-13 03:00:00
178,178,175,33,80,1,2023-05-08 01:00:00,2023-05-08 02:00:00,E-07-02,,2023-05-08 01:00:00
179,179,76,28,280,4,2023-10-29 03:00:00,2023-10-29 08:00:00,D-07-05,,2023-10-29 03:00:00
180,180,434,32,241,1,2023-09-30 03:00:00,2023-09-30 09:00:00,C-15-01,,2023-09-30 03:00:00
181,181,483,30,222,2,2023-12-08 01:00:00,2023-12-08 04:00:00,E-09-02,,2023-12-08 01:00:00
182,182,166,27,455,7,2023-04-01 02:00:00,2023-04-01 09:00:00,D-18-05,,2023-04-01 02:00:00
183,183,492,29,412,9,2023-09-08 04:00:00,2023-09-08 11:00:00,D-20-03,,2023-09-08 04:00:00
184,184,356,34,390,1,2023-11-23 02:00:00,2023-11-23 03:00:00,E-15-05,,2023-11-23 02:00:00
185,185,418,29,115,2,2023-04-09 03:00:00,2023-04-09 08:00:00,E-04-02,,2023-04-09 03:00:00
186,186,374,26,250,1,2023-02-15 01:00:00,2023-02-15 04:00:00,C-05-03,,2023-02-15 01:00:00
187,187,395,31,464,3,2023-10-28 02:00:00,2023-10-28 04:00:00,A-12-05,,2023-10-28 02:00:00
188,188,114,31,122,3,2023-12-04 03:00:00,2023-12-04 06:00:00,D-20-03,,2023-12-04 03:00:00
189,189,382,26,113,0,2023-02-12 03:00:00,2023-02-12 07:00:00,C-06-03,,2023-02-12 03:00:00
190,190,454,29,278,8,2023-02-17 01:00:00,2023-02-17 08:00:00,C-20-05,,2023-02-17 01:00:00
191,191,136,31,157,1,2023-04-18 04:00:00,2023-04-18 07:00:00,D-08-04,,2023-04-18 04:00:00
192,192,403,29,247,3,2023-02-28 04:00:00,2023-02-28 07:00:00,D-06-02,,2023-02-28 04:00:00
193,193,376,28,302,8,2023-09-14 02:00:00,2023-09-14 07:00:00,A-10-02,,2023-09-14 02:00:00
194,194,194,32,411,2,2023-07-04 02:00:00,2023-07-04 04:00:00,D-08-04,,2023-07-04 02:00:00
195,195,404,27,133,2,2023-11-17 01:00:00,2023-11-17 03:00:00,D-13-01,,2023-11-17 01:00:00
196,196,38,28,164,3,2023-02-13 01:00:00,2023-02-13 04:00:00,B-03-03,,2023-02-13 01:00:00
197,197,38,29,110,2,2023-07-01 01:00:00,2023-07-01 03:00:00,E-11-01,,2023-07-01 01:00:00
198,198,39,28,223,5,2023-10-10 04:00:00,2023-10-10 07:00:00,C-11-04,,2023-10-10 04:00:00
199,199,315,34,384,6,2023-09-15 03:00:00,2023-09-15 05:00:00,A-02-01,,2023-09-15 03:00:00
200,200,311,29,219,3,2023-09-02 04:00:00,2023-09-02 07:00:00,A-08-01,,2023-09-02 04:00:00
201,201,499,28,388,1,2023-04-16 03:00:00,2023-04-16 07:00:00,D-04-04,,2023-04-16 03:00:00
202,202,153,27,235,6,2023-05-08 03:00:00,2023-05-08 09:00:00,A-20-03,,2023-05-08 03:00:00
203,203,431,32,51,1,2023-09-22 01:00:00,2023-09-22 02:00:00,E-05-02,,2023-09-22 01:00:00
204,204,45,31,152,2,2023-06-08 04:00:00,2023-06-08 07:00:00,C-20-03,,2023-06-08 04:00:00
205,205,14,28,64,0,2023-04-21 03:00:00,2023-04-21 08:00:00,A-01-02,,2023-04-21 03:00:00
206,206,433,30,291,3,2023-03-28 04:00:00,2023-03-28 06:00:00,A-19-04,,2023-03-28 04:00:00
207,207,459,33,144,1,2024-01-01 02:00:00,2024-01-01 05:00:00,D-12-03,,2024-01-01 02:00:00
208,208,454,32,72,1,2023-07-19 04:00:00,2023-07-19 10:00:00,B-08-04,,2023-07-19 04:00:00
209,209,226,32,338,5,2023-09-01 04:00:00,2023-09-01 08:00:00,D-03-05,,2023-09-01 04:00:00
210,210,78,29,392,9,2023-12-23 02:00:00,2023-12-23 04:00:00,B-12-01,,2023-12-23 02:00:00
211,211,414,28,202,3,2023-10-07 02:00:00,2023-10-07 04:00:00,A-12-03,,2023-10-07 02:00:00
212,212,431,28,324,1,2023-07-21 04:00:00,2023-07-21 08:00:00,B-08-01,,2023-07-21 04:00:00
213,213,444,26,293,6,2023-09-02 02:00:00,2023-09-02 09:00:00,A-14-03,,2023-09-02 02:00:00
214,214,41,28,307,6,2023-07-31 01:00:00,2023-07-31 09:00:00,E-06-01,,2023-07-31 01:00:00
215,215,462,28,111,0,2023-09-30 01:00:00,2023-09-30 02:00:00,E-14-02,,2023-09-30 01:00:00
216,216,230,26,158,0,2023-05-07 03:00:00,2023-05-07 11:00:00,D-11-04,,2023-05-07 03:00:00
217,217,99,32,399,1,2023-04-03 01:00:00,2023-04-03 04:00:00,E-06-01,,2023-04-03 01:00:00
218,218,104,30,184,4,2023-11-25 03:00:00,2023-11-25 08:00:00,B-14-02,,2023-11-25 03:00:00
219,219,373,29,266,7,2023-02-12 02:00:00,2023-02-12 06:00:00,D-20-01,,2023-02-12 02:00:00
220,220,439,32,452,11,2023-05-23 01:00:00,2023-05-23 09:00:00,D-11-04,,2023-05-23 01:00:00
221,221,320,27,107,2,2023-11-02 04:00:00,2023-11-02 08:00:00,C-04-01,,2023-11-02 04:00:00
222,222,77,34,104,2,2023-03-22 03:00:00,2023-03-22 04:00:00,B-10-02,,2023-03-22 03:00:00
223,223,400,26,499,3,2023-03-02 01:00:00,2023-03-02 06:00:00,B-18-02,,2023-03-02 01:00:00
224,224,136,27,69,0,2023-07-24 01:00:00,2023-07-24 09:00:00,A-02-03,,2023-07-24 01:00:00
225,225,142,32,41,0,2023-08-20 03:00:00,2023-08-20 10:00:00,E-07-03,,2023-08-20 03:00:00
226,226,456,34,431,12,2023-06-24 01:00:00,2023-06-24 07:00:00,D-17-01,,2023-06-24 01:00:00
227,227,472,28,146,2,2023-06-16 04:00:00,2023-06-16 12:00:00,E-02-03,,2023-06-16 04:00:00
228,228,407,34,489,6,2023-06-16 01:00:00,2023-06-16 05:00:00,B-05-02,,2023-06-16 01:00:00
229,229,351,31,118,2,2023-03-06 03:00:00,2023-03-06 11:00:00,B-11-03,,2023-03-06 03:00:00
230,230,499,35,187,5,2023-08-20 01:00:00,2023-08-20 08:00:00,B-07-05,,2023-08-20 01:00:00
231,231,214,34,276,1,2023-11-09 04:00:00,2023-11-09 06:00:00,A-05-03,,2023-11-09 04:00:00
232,232,468,30,428,11,2023-08-05 04:00:00,2023-08-05 06:00:00,D-11-02,,2023-08-05 04:00:00
233,233,264,33,119,1,2023-03-26 03:00:00,2023-03-26 09:00:00,A-03-02,,2023-03-26 03:00:00
234,234,436,33,138,1,2023-10-29 03:00:00,2023-10-29 11:00:00,B-04-05,,2023-10-29 03:00:00
235,235,449,31,66,1,2023-04-20 04:00:00,2023-04-20 11:00:00,E-05-04,,2023-04-20 04:00:00
236,236,26,33,238,4,2023-07-30 03:00:00,2023-07-30 09:00:00,A-14-05,,2023-07-30 03:00:00
237,237,238,28,398,10,2023-09-24 01:00:00,2023-09-24 02:00:00,B-18-01,,2023-09-24 01:00:00
238,238,124,27,99,0,2023-07-13 04:00:00,2023-07-13 06:00:00,B-13-04,,2023-07-13 04:00:00
239,239,243,32,133,1,2023-11-07 04:00:00,2023-11-07 06:00:00,A-06-01,,2023-11-07 04:00:00
