shipment_id,order_id,carrier,tracking_number,shipping_cost,weight_kg,ship_date,estimated_date,actual_date,sla_days,is_on_time,created_at
41,49,InPost,InPost-810159988,10.04,21.94,2023-03-22 00:17:00,2023-03-24 00:17:00,2023-03-23 16:17:00,2,True,2023-03-22 00:17:00
42,51,UPS,UPS-490048771,21.69,1.697,2023-11-13 22:39:00,2023-11-16 22:39:00,2023-11-16 20:39:00,3,True,2023-11-13 22:39:00
43,52,InPost,InPost-322000501,6.32,6.704,2023-11-07 00:17:00,2023-11-09 00:17:00,2023-11-08 23:17:00,2,True,2023-11-07 00:17:00
44,53,DPD,DPD-524496219,17.34,1.758,2023-12-17 20:00:00,2023-12-20 20:00:00,2023-12-22 20:00:00,3,False,2023-12-17 20:00:00
45,54,DHL,DHL-645121967,18.33,0.683,2023-09-14 06:40:00,2023-09-16 06:40:00,2023-09-16 03:40:00,2,True,2023-09-14 06:40:00
46,55,DHL,DHL-921259159,13.55,4.095,2023-03-10 20:54:00,2023-03-12 20:54:00,2023-03-12 17:54:00,2,True,2023-03-10 20:54:00
47,56,UPS,UPS-303091985,21.16,3.93,2023-08-16 04:38:00,2023-08-18 04:38:00,2023-08-17 20:38:00,2,True,2023-08-16 04:38:00
48,57,DPD,DPD-211973732,15.05,1.922,2023-05-22 04:08:00,2023-05-25 04:08:00,2023-05-25 02:08:00,3,True,2023-05-22 04:08:00
49,58,DPD,DPD-269023216,12.87,1.472,2023-06-16 15:36:00,2023-06-19 15:36:00,2023-06-19 15:36:00,3,True,2023-06-16 15:36:00
50,60,DPD,DPD-433646810,16.58,1.768,2023-09-09 06:44:00,2023-09-12 06:44:00,2023-09-12 02:44:00,3,True,2023-09-09 06:44:00
51,61,DHL,DHL-575837780,20.21,3.676,2023-02-20 20:49:00,2023-02-23 20:49:00,2023-02-23 13:49:00,3,True,2023-02-20 20:49:00
52,63,DHL,DHL-337726707,14.78,2.372,2023-02-18 15:11:00,2023-02-21 15:11:00,2023-02-21 04:11:00,3,True,2023-02-18 15:11:00
53,64,InPost,InPost-497665297,6.66,1.274,2023-05-15 01:11:00,2023-05-17 01:11:00,2023-05-17 00:11:00,2,True,2023-05-15 01:11:00
54,66,DPD,DPD-599332759,10.78,0.834,2023-07-09 22:46:00,2023-07-11 22:46:00,2023-07-11 13:46:00,2,True,2023-07-09 22:46:00
55,67,DPD,DPD-556472973,9.15,1.007,2023-10-08 09:37:00,2023-10-11 09:37:00,2023-10-11 06:37:00,3,True,2023-10-08 09:37:00
56,68,InPost,InPost-179181072,7.01,0.603,2023-05-22 17:54:00,2023-05-25 17:54:00,2023-05-25 07:54:00,3,True,2023-05-22 17:54:00
57,69,DHL,DHL-384209251,17.81,10.628,2023-08-03 19:18:00,2023-08-05 19:18:00,2023-08-05 11:18:00,2,True,2023-08-03 19:18:00
58,70,InPost,InPost-766579398,6.67,6.899,2023-09-11 00:53:00,2023-09-13 00:53:00,2023-09-12 17:53:00,2,True,2023-09-11 00:53:00
59,71,InPost,InPost-229962579,8.86,2.396,2023-06-10 22:39:00,2023-06-12 22:39:00,2023-06-12 18:39:00,2,True,2023-06-10 22:39:00
60,72,InPost,InPost-726245408,6.64,3.062,2023-09-15 00:48:00,2023-09-18 00:48:00,2023-09-17 22:48:00,3,True,2023-09-15 00:48:00
61,73,InPost,InPost-340868655,7.26,0.947,2023-11-27 05:31:00,2023-11-29 05:31:00,2023-11-29 00:31:00,2,True,2023-11-27 05:31:00
62,74,InPost,InPost-720434050,7.94,2.015,2023-06-16 01:07:00,2023-06-19 01:07:00,2023-06-18 21:07:00,3,True,2023-06-16 01:07:00
63,75,DPD,DPD-918592932,8.27,2.292,2023-05-03 04:03:00,2023-05-06 04:03:00,2023-05-05 21:03:00,3,True,2023-05-03 04:03:00
64,76,DPD,DPD-533819201,9.03,2.99,2023-12-24 22:05:00,2023-12-26 22:05:00,2023-12-26 20:05:00,2,True,2023-12-24 22:05:00
65,77,InPost,InPost-424647742,11.69,2.34,2023-04-24 19:01:00,2023-04-26 19:01:00,2023-04-26 13:01:00,2,True,2023-04-24 19:01:00
66,78,InPost,InPost-419751568,6.05,13.16,2023-10-29 00:29:00,2023-11-01 00:29:00,2023-10-31 23:29:00,3,True,2023-10-29 00:29:00
67,79,DPD,DPD-363555359,16.16,0.633,2023-11-09 05:27:00,2023-11-12 05:27:00,2023-11-13 05:27:00,3,False,2023-11-09 05:27:00
68,80,DPD,DPD-837690516,17.31,1.496,2023-10-23 00:23:00,2023-10-26 00:23:00,2023-10-25 15:23:00,3,True,2023-10-23 00:23:00
69,81,DPD,DPD-453081498,16.01,3.546,2023-12-23 22:46:00,2023-12-25 22:46:00,2023-12-25 13:46:00,2,True,2023-12-23 22:46:00
70,82,DHL,DHL-228755213,21.71,0.73,2023-11-13 22:01:00,2023-11-16 22:01:00,2023-11-16 22:01:00,3,True,2023-11-13 22:01:00
71,83,DHL,DHL-989011281,14.96,8.052,2023-05-14 22:07:00,2023-05-16 22:07:00,2023-05-16 16:07:00,2,True,2023-05-14 22:07:00
72,84,DPD,DPD-144784013,9.87,3.152,2023-08-03 05:01:00,2023-08-05 05:01:00,2023-08-07 05:01:00,2,False,2023-08-03 05:01:00
73,85,DHL,DHL-438248309,14.48,7.935,2023-11-03 23:17:00,2023-11-05 23:17:00,2023-11-05 19:17:00,2,True,2023-11-03 23:17:00
74,86,InPost,InPost-105399862,6.23,3.036,2023-03-27 02:40:00,2023-03-29 02:40:00,2023-03-28 15:40:00,2,True,2023-03-27 02:40:00
75,87,DHL,DHL-247894604,21.33,4.65,2023-10-07 04:15:00,2023-10-10 04:15:00,2023-10-09 23:15:00,3,True,2023-10-07 04:15:00
76,88,DPD,DPD-820298132,11.45,2.792,2023-12-12 04:19:00,2023-12-14 04:19:00,2023-12-13 16:19:00,2,True,2023-12-12 04:19:00
77,89,UPS,UPS-871577485,30.76,2.345,2023-01-17 23:29:00,2023-01-19 23:29:00,2023-01-19 14:29:00,2,True,2023-01-17 23:29:00
78,90,InPost,InPost-623758114,7.75,2.06,2023-02-18 21:13:00,2023-02-20 21:13:00,2023-02-20 14:13:00,2,True,2023-02-18 21:13:00
79,91,DPD,DPD-314057334,14.64,1.988,2023-05-21 20:10:00,2023-05-24 20:10:00,2023-05-27 20:10:00,3,False,2023-05-21 20:10:00
80,92,UPS,UPS-470142679,27.0,1.436,2023-06-17 00:47:00,2023-06-20 00:47:00,2023-06-19 19:47:00,3,True,2023-06-17 00:47:00
81,94,DHL,DHL-964652916,23.4,1.556,2023-01-15 00:35:00,2023-01-17 00:35:00,2023-01-20 00:35:00,2,False,2023-01-15 00:35:00
82,95,DHL,DHL-320790092,21.16,15.144,2023-09-13 01:47:00,2023-09-15 01:47:00,2023-09-14 23:47:00,2,True,2023-09-13 01:47:00
83,96,DHL,DHL-911934315,21.25,8.835,2023-08-18 00:51:00,2023-08-20 00:51:00,2023-08-19 16:51:00,2,True,2023-08-18 00:51:00
84,97,DHL,DHL-691713773,23.17,6.638,2023-10-03 14:05:00,2023-10-06 14:05:00,2023-10-06 14:05:00,3,True,2023-10-03 14:05:00
85,98,DPD,DPD-738808704,9.02,1.858,2023-11-21 04:19:00,2023-11-23 04:19:00,2023-11-22 18:19:00,2,True,2023-11-21 04:19:00
86,99,DPD,DPD-567353598,14.79,2.131,2023-01-13 14:23:00,2023-01-15 14:23:00,2023-01-15 05:23:00,2,True,2023-01-13 14:23:00
87,100,DPD,DPD-384946789,16.44,0.993,2023-07-12 21:17:00,2023-07-15 21:17:00,2023-07-15 09:17:00,3,True,2023-07-12 21:17:00
88,101,UPS,UPS-715395423,27.19,1.584,2023-04-28 08:35:00,2023-04-30 08:35:00,2023-04-30 05:35:00,2,True,2023-04-28 08:35:00
89,102,InPost,InPost-283551415,13.6,4.32,2023-11-13 20:04:00,2023-11-16 20:04:00,2023-11-16 20:04:00,3,True,2023-11-13 20:04:00
90,103,DHL,DHL-831663741,19.84,1.247,2023-10-19 16:37:00,2023-10-22 16:37:00,2023-10-22 14:37:00,3,True,2023-10-19 16:37:00
91,104,DPD,DPD-257723652,17.95,15.695,2023-12-05 17:48:00,2023-12-07 17:48:00,2023-12-07 12:48:00,2,True,2023-12-05 17:48:00
92,105,InPost,InPost-184655899,10.42,1.017,2023-06-27 01:42:00,2023-06-29 01:42:00,2023-07-01 01:42:00,2,False,2023-06-27 01:42:00
93,106,UPS,UPS-401075263,22.12,10.48,2023-10-15 04:20:00,2023-10-18 04:20:00,2023-10-17 19:20:00,3,True,2023-10-15 04:20:00
94,107,DHL,DHL-214343565,14.24,2.78,2023-10-06 22:48:00,2023-10-09 22:48:00,2023-10-09 14:48:00,3,True,2023-10-06 22:48:00
95,108,DPD,DPD-747477728,17.41,1.972,2023-02-28 04:36:00,2023-03-03 04:36:00,2023-03-03 01:36:00,3,True,2023-02-28 04:36:00
96,110,DPD,DPD-580211192,8.59,0.677,2023-04-05 23:31:00,2023-04-08 23:31:00,2023-04-11 23:31:00,3,False,2023-04-05 23:31:00
97,111,DPD,DPD-672740027,9.43,0.905,2023-11-01 20:42:00,2023-11-03 20:42:00,2023-11-03 11:42:00,2,True,2023-11-01 20:42:00
98,112,InPost,InPost-553290073,13.21,1.93,2023-08-13 21:47:00,2023-08-15 21:47:00,2023-08-15 12:47:00,2,True,2023-08-13 21:47:00
99,113,DHL,DHL-916862848,19.01,1.48,2023-10-27 19:50:00,2023-10-29 19:50:00,2023-10-29 16:50:00,2,True,2023-10-27 19:50:00
100,114,InPost,InPost-968279191,6.9,1.481,2023-07-14 01:23:00,2023-07-17 01:23:00,2023-07-16 14:23:00,3,True,2023-07-14 01:23:00
101,115,DHL,DHL-587130369,16.66,10.388,2023-06-17 01:34:00,2023-06-19 01:34:00,2023-06-18 19:34:00,2,True,2023-06-17 01:34:00
102,116,InPost,InPost-348620654,7.33,1.952,2023-10-09 20:46:00,2023-10-12 20:46:00,2023-10-12 18:46:00,3,True,2023-10-09 20:46:00
103,117,InPost,InPost-366558607,11.33,1.015,2023-12-02 09:36:00,2023-12-05 09:36:00,2023-12-04 23:36:00,3,True,2023-12-02 09:36:00
104,118,DPD,DPD-729372810,9.16,3.38,2023-08-09 00:29:00,2023-08-11 00:29:00,2023-08-16 00:29:00,2,False,2023-08-09 00:29:00
105,119,InPost,InPost-611561831,12.77,2.345,2023-07-05 01:36:00,2023-07-08 01:36:00,2023-07-07 14:36:00,3,True,2023-07-05 01:36:00
106,120,InPost,InPost-962248925,10.27,1.836,2023-11-27 05:38:00,2023-11-30 05:38:00,2023-11-30 05:38:00,3,True,2023-11-27 05:38:00
107,121,DPD,DPD-528763963,17.23,0.827,2023-06-16 17:44:00,2023-06-19 17:44:00,2023-06-19 13:44:00,3,True,2023-06-16 17:44:00
108,122,InPost,InPost-486318917,6.08,0.866,2023-11-16 03:08:00,2023-11-18 03:08:00,2023-11-17 23:08:00,2,True,2023-11-16 03:08:00
109,123,DPD,DPD-476294649,13.52,8.75,2023-04-24 01:32:00,2023-04-26 01:32:00,2023-04-25 21:32:00,2,True,2023-04-24 01:32:00
110,124,DHL,DHL-501383340,13.8,1.486,2023-05-13 22:16:00,2023-05-16 22:16:00,2023-05-16 10:16:00,3,True,2023-05-13 22:16:00
111,125,InPost,InPost-681990552,12.91,2.252,2023-09-08 22:09:00,2023-09-11 22:09:00,2023-09-11 20:09:00,3,True,2023-09-08 22:09:00
112,126,DPD,DPD-591262813,17.57,0.794,2023-09-11 22:01:00,2023-09-13 22:01:00,2023-09-13 13:01:00,2,True,2023-09-11 22:01:00
113,127,DPD,DPD-473397933,14.78,2.316,2023-06-04 22:56:00,2023-06-06 22:56:00,2023-06-06 13:56:00,2,True,2023-06-04 22:56:00
114,129,DHL,DHL-158864495,13.23,0.649,2023-10-16 02:03:00,2023-10-18 02:03:00,2023-10-22 02:03:00,2,False,2023-10-16 02:03:00
115,130,DHL,DHL-256679744,16.36,3.539,2023-01-15 22:17:00,2023-01-18 22:17:00,2023-01-18 22:17:00,3,True,2023-01-15 22:17:00
116,131,InPost,InPost-313901752,6.04,12.768,2023-05-06 22:28:00,2023-05-09 22:28:00,2023-05-09 17:28:00,3,True,2023-05-06 22:28:00
117,132,DPD,DPD-105103322,14.77,13.39,2023-02-09 06:47:00,2023-02-11 06:47:00,2023-02-10 20:47:00,2,True,2023-02-09 06:47:00
118,133,InPost,InPost-838129031,7.7,2.98,2023-02-05 22:05:00,2023-02-08 22:05:00,2023-02-08 11:05:00,3,True,2023-02-05 22:05:00
119,134,DHL,DHL-894957059,21.41,5.132,2023-06-07 17:36:00,2023-06-10 17:36:00,2023-06-10 06:36:00,3,True,2023-06-07 17:36:00
120,135,InPost,InPost-408546145,7.59,9.12,2023-09-27 20:45:00,2023-09-30 20:45:00,2023-09-30 11:45:00,3,True,2023-09-27 20:45:00
121,136,InPost,InPost-509133284,8.21,3.036,2023-05-11 01:55:00,2023-05-14 01:55:00,2023-05-16 01:55:00,3,False,2023-05-11 01:55:00
122,137,UPS,UPS-821909967,28.61,1.799,2023-07-07 18:19:00,2023-07-09 18:19:00,2023-07-09 15:19:00,2,True,2023-07-07 18:19:00
123,138,DHL,DHL-732975339,21.06,2.324,2023-01-11 09:10:00,2023-01-13 09:10:00,2023-01-15 09:10:00,2,False,2023-01-11 09:10:00
124,140,DHL,DHL-449480150,18.36,5.96,2023-11-03 09:17:00,2023-11-06 09:17:00,2023-11-06 09:17:00,3,True,2023-11-03 09:17:00
125,141,DPD,DPD-474743655,8.42,0.685,2023-05-24 07:56:00,2023-05-27 07:56:00,2023-05-30 07:56:00,3,False,2023-05-24 07:56:00
126,142,InPost,InPost-159310310,13.84,2.496,2023-12-09 20:36:00,2023-12-12 20:36:00,2023-12-12 10:36:00,3,True,2023-12-09 20:36:00
127,143,DHL,DHL-900293981,23.01,1.697,2023-08-22 02:09:00,2023-08-24 02:09:00,2023-08-23 17:09:00,2,True,2023-08-22 02:09:00
128,144,InPost,InPost-924519336,12.12,4.656,2023-12-24 23:33:00,2023-12-26 23:33:00,2023-12-26 12:33:00,2,True,2023-12-24 23:33:00
129,145,DPD,DPD-908077324,13.89,4.96,2023-12-07 22:47:00,2023-12-09 22:47:00,2023-12-09 10:47:00,2,True,2023-12-07 22:47:00
130,146,DPD,DPD-426188154,8.3,0.666,2023-04-13 02:54:00,2023-04-16 02:54:00,2023-04-15 15:54:00,3,True,2023-04-13 02:54:00
131,147,DPD,DPD-488801686,13.19,3.08,2023-08-27 17:37:00,2023-08-29 17:37:00,2023-08-29 13:37:00,2,True,2023-08-27 17:37:00
132,148,InPost,InPost-559840696,8.5,1.109,2023-09-12 01:16:00,2023-09-15 01:16:00,2023-09-14 21:16:00,3,True,2023-09-12 01:16:00
133,149,DPD,DPD-452423368,12.45,4.546,2023-05-06 19:23:00,2023-05-09 19:23:00,2023-05-09 14:23:00,3,True,2023-05-06 19:23:00
134,150,InPost,InPost-777757054,10.98,7.778,2023-11-12 21:56:00,2023-11-15 21:56:00,2023-11-15 13:56:00,3,True,2023-11-12 21:56:00
135,151,InPost,InPost-671621507,10.47,7.34,2023-11-09 02:24:00,2023-11-12 02:24:00,2023-11-11 23:24:00,3,True,2023-11-09 02:24:00
136,153,InPost,InPost-869924011,8.19,0.741,2023-01-27 22:32:00,2023-01-30 22:32:00,2023-01-30 15:32:00,3,True,2023-01-27 22:32:00
137,154,UPS,UPS-777162481,16.76,2.632,2023-11-02 12:19:00,2023-11-04 12:19:00,2023-11-04 06:19:00,2,True,2023-11-02 12:19:00
138,155,DHL,DHL-396292292,13.54,1.269,2023-12-23 07:54:00,2023-12-26 07:54:00,2023-12-25 21:54:00,3,True,2023-12-23 07:54:00
139,156,InPost,InPost-452429896,10.81,11.095,2023-06-02 06:29:00,2023-06-05 06:29:00,2023-06-05 05:29:00,3,True,2023-06-02 06:29:00
140,157,InPost,InPost-610790251,10.96,15.22,2023-06-09 22:27:00,2023-06-11 22:27:00,2023-06-11 17:27:00,2,True,2023-06-09 22:27:00
141,158,DPD,DPD-920655838,8.84,3.975,2023-07-22 06:10:00,2023-07-25 06:10:00,2023-07-24 22:10:00,3,True,2023-07-22 06:10:00
142,159,DPD,DPD-717391960,9.53,6.172,2023-12-12 23:09:00,2023-12-15 23:09:00,2023-12-15 18:09:00,3,True,2023-12-12 23:09:00
143,160,DPD,DPD-173999900,12.66,2.99,2023-09-05 07:41:00,2023-09-08 07:41:00,2023-09-07 23:41:00,3,True,2023-09-05 07:41:00
144,161,InPost,InPost-526320116,6.59,1.475,2023-09-09 15:31:00,2023-09-12 15:31:00,2023-09-12 11:31:00,3,True,2023-09-09 15:31:00
145,162,DHL,DHL-692912687,21.51,1.079,2023-04-18 15:48:00,2023-04-20 15:48:00,2023-04-20 05:48:00,2,True,2023-04-18 15:48:00
146,163,DPD,DPD-226902907,9.34,10.388,2023-05-11 03:34:00,2023-05-14 03:34:00,2023-05-13 16:34:00,3,True,2023-05-11 03:34:00
147,164,DPD,DPD-563143733,16.8,16.168,2023-09-07 22:38:00,2023-09-10 22:38:00,2023-09-13 22:38:00,3,False,2023-09-07 22:38:00
148,166,UPS,UPS-601719647,33.1,2.76,2023-01-18 06:13:00,2023-01-20 06:13:00,2023-01-19 21:13:00,2,True,2023-01-18 06:13:00
149,167,InPost,InPost-478102052,10.95,5.45,2023-03-25 22:51:00,2023-03-27 22:51:00,2023-03-27 22:51:00,2,True,2023-03-25 22:51:00
150,168,DPD,DPD-196977334,13.7,4.82,2023-02-17 09:19:00,2023-02-19 09:19:00,2023-02-19 05:19:00,2,True,2023-02-17 09:19:00
151,169,DPD,DPD-369222629,9.88,1.589,2023-04-24 04:38:00,2023-04-26 04:38:00,2023-04-25 23:38:00,2,True,2023-04-24 04:38:00
152,170,InPost,InPost-630771403,9.29,2.438,2023-09-25 00:38:00,2023-09-27 00:38:00,2023-10-02 00:38:00,2,False,2023-09-25 00:38:00
153,171,DHL,DHL-152812810,20.03,1.664,2023-08-11 21:44:00,2023-08-13 21:44:00,2023-08-13 21:44:00,2,True,2023-08-11 21:44:00
154,172,InPost,InPost-691426397,13.75,0.811,2023-06-13 22:50:00,2023-06-15 22:50:00,2023-06-15 11:50:00,2,True,2023-06-13 22:50:00
155,173,DPD,DPD-167495348,13.61,6.578,2023-10-27 19:44:00,2023-10-30 19:44:00,2023-10-30 17:44:00,3,True,2023-10-27 19:44:00
156,175,DHL,DHL-159206188,20.59,13.72,2023-12-13 01:22:00,2023-12-16 01:22:00,2023-12-15 19:22:00,3,True,2023-12-13 01:22:00
157,177,DPD,DPD-324909183,14.46,8.774,2023-05-18 01:33:00,2023-05-21 01:33:00,2023-05-21 00:33:00,3,True,2023-05-18 01:33:00
158,178,DHL,DHL-157640108,15.37,2.882,2023-02-04 20:37:00,2023-02-06 20:37:00,2023-02-06 19:37:00,2,True,2023-02-04 20:37:00
159,179,DPD,DPD-727132681,13.96,1.25,2023-06-15 19:19:00,2023-06-17 19:19:00,2023-06-17 17:19:00,2,True,2023-06-15 19:19:00
160,180,DHL,DHL-633152594,12.77,5.146,2023-03-15 17:40:00,2023-03-17 17:40:00,2023-03-17 06:40:00,2,True,2023-03-15 17:40:00
161,181,DHL,DHL-582418793,22.86,2.586,2023-03-11 19:44:00,2023-03-14 19:44:00,2023-03-14 18:44:00,3,True,2023-03-11 19:44:00
162,182,InPost,InPost-268133912,8.76,5.158,2023-10-12 04:45:00,2023-10-15 04:45:00,2023-10-15 04:45:00,3,True,2023-10-12 04:45:00
163,183,DHL,DHL-958266722,12.24,4.618,2023-12-07 00:34:00,2023-12-09 00:34:00,2023-12-08 13:34:00,2,True,2023-12-07 00:34:00
164,184,DPD,DPD-715518296,8.64,1.232,2023-01-06 06:33:00,2023-01-09 06:33:00,2023-01-08 23:33:00,3,True,2023-01-06 06:33:00
165,185,DPD,DPD-897884270,11.72,2.134,2023-11-11 21:38:00,2023-11-14 21:38:00,2023-11-14 20:38:00,3,True,2023-11-11 21:38:00
166,186,DPD,DPD-428139586,15.92,8.579,2023-10-05 01:06:00,2023-10-08 01:06:00,2023-10-07 23:06:00,3,True,2023-10-05 01:06:00
167,189,DHL,DHL-158267154,22.67,1.105,2023-10-05 18:30:00,2023-10-07 18:30:00,2023-10-07 12:30:00,2,True,2023-10-05 18:30:00
168,190,InPost,InPost-540727421,10.16,8.976,2023-10-19 02:26:00,2023-10-21 02:26:00,2023-10-20 17:26:00,2,True,2023-10-19 02:26:00
169,191,UPS,UPS-936495603,30.39,1.716,2023-06-25 02:31:00,2023-06-28 02:31:00,2023-06-27 22:31:00,3,True,2023-06-25 02:31:00
170,192,InPost,InPost-741322208,10.22,1.049,2023-09-13 09:03:00,2023-09-16 09:03:00,2023-09-15 21:03:00,3,True,2023-09-13 09:03:00
171,193,DPD,DPD-573292841,16.27,2.76,2023-07-15 04:15:00,2023-07-18 04:15:00,2023-07-23 04:15:00,3,False,2023-07-15 04:15:00
172,194,DHL,DHL-774954227,21.14,12.86,2023-10-07 19:15:00,2023-10-09 19:15:00,2023-10-09 17:15:00,2,True,2023-10-07 19:15:00
173,195,DPD,DPD-669774596,15.67,3.032,2023-03-23 02:13:00,2023-03-26 02:13:00,2023-03-25 22:13:00,3,True,2023-03-23 02:13:00
