pick_id,order_id,employee_id,sku_id,qty_requested,qty_picked,is_correct,error_type,started_at,completed_at,lines_picked,created_at
21,23,23,146,5,5,True,,2023-08-07 22:00:00,2023-08-07 22:19:00,1,2023-08-07 22:00:00
22,24,22,182,2,2,True,,2023-05-19 23:04:00,2023-05-19 23:27:00,1,2023-05-19 23:04:00
23,25,25,232,3,3,True,,2023-07-28 18:41:00,2023-07-28 19:07:00,1,2023-07-28 18:41:00
24,26,24,387,5,5,True,,2023-12-09 10:11:00,2023-12-09 10:24:00,1,2023-12-09 10:11:00
25,27,5,98,5,5,True,,2023-10-15 22:06:00,2023-10-15 22:11:00,1,2023-10-15 22:06:00
26,28,9,260,4,4,True,,2023-08-21 22:54:00,2023-08-21 23:18:00,1,2023-08-21 22:54:00
27,29,8,296,2,2,True,,2023-11-20 16:09:00,2023-11-20 16:15:00,1,2023-11-20 16:09:00
28,30,11,18,4,4,True,,2023-10-20 15:00:00,2023-10-20 15:22:00,1,2023-10-20 15:00:00
29,32,24,84,1,1,True,,2023-03-06 12:32:00,2023-03-06 12:53:00,1,2023-03-06 12:32:00
30,33,21,29,5,1,False,wrong_item,2023-10-28 19:08:00,2023-10-28 19:31:00,1,2023-10-28 19:08:00
31,34,19,475,2,2,True,,2023-07-22 13:58:00,2023-07-22 14:20:00,1,2023-07-22 13:58:00
32,35,18,485,1,1,True,,2023-11-18 19:00:00,2023-11-18 19:18:00,1,2023-11-18 19:00:00
33,37,3,149,5,5,True,,2023-09-05 16:55:00,2023-09-05 17:25:00,1,2023-09-05 16:55:00
34,38,12,44,2,0,False,wrong_item,2023-03-17 20:12:00,2023-03-17 20:25:00,1,2023-03-17 20:12:00
35,39,9,342,3,3,True,,2023-09-17 01:26:00,2023-09-17 01:55:00,1,2023-09-17 01:26:00
36,41,15,60,5,5,True,,2023-12-15 12:50:00,2023-12-15 13:19:00,1,2023-12-15 12:50:00
37,44,25,455,5,5,True,,2023-02-27 16:59:00,2023-02-27 17:16:00,1,2023-02-27 16:59:00
38,45,3,130,4,0,False,wrong_item,2023-12-10 23:10:00,2023-12-10 23:34:00,1,2023-12-10 23:10:00
39,46,17,331,2,2,True,,2023-06-04 14:35:00,2023-06-04 14:49:00,1,2023-06-04 14:35:00
40,47,19,155,2,2,True,,2023-04-14 17:31:00,2023-04-14 17:37:00,1,2023-04-14 17:31:00
41,48,1,266,1,1,True,,2023-10-07 20:34:00,2023-10-07 20:59:00,1,2023-10-07 20:34:00
42,49,5,273,5,5,True,,2023-03-21 21:06:00,2023-03-21 21:17:00,1,2023-03-21 21:06:00
43,51,12,486,3,3,True,,2023-11-13 19:23:00,2023-11-13 19:39:00,1,2023-11-13 19:23:00
44,52,18,385,4,4,True,,2023-11-06 21:00:00,2023-11-06 21:17:00,1,2023-11-06 21:00:00
45,53,7,472,2,2,True,,2023-12-17 15:34:00,2023-12-17 16:00:00,1,2023-12-17 15:34:00
46,54,8,447,1,1,True,,2023-09-13 23:19:00,2023-09-13 23:40:00,1,2023-09-13 23:19:00
47,55,24,298,5,5,True,,2023-03-10 12:26:00,2023-03-10 12:54:00,1,2023-03-10 12:26:00
48,56,3,462,2,2,True,,2023-08-15 22:08:00,2023-08-15 22:38:00,1,2023-08-15 22:08:00
49,57,3,39,3,3,True,,2023-05-22 00:58:00,2023-05-22 01:08:00,1,2023-05-22 00:58:00
50,58,22,94,2,2,True,,2023-06-16 13:12:00,2023-06-16 13:36:00,1,2023-06-16 13:12:00
51,59,21,18,5,5,True,,2023-11-10 00:01:00,2023-11-10 00:17:00,1,2023-11-10 00:01:00
52,60,23,159,1,1,True,,2023-09-08 22:18:00,2023-09-08 22:44:00,1,2023-09-08 22:18:00
53,61,7,191,4,4,True,,2023-02-20 13:35:00,2023-02-20 13:49:00,1,2023-02-20 13:35:00
54,62,3,139,2,2,True,,2023-11-18 12:44:00,2023-11-18 13:10:00,1,2023-11-18 12:44:00
55,63,10,407,3,3,True,,2023-02-18 12:43:00,2023-02-18 13:11:00,1,2023-02-18 12:43:00
56,64,10,173,3,3,True,,2023-05-14 17:03:00,2023-05-14 17:11:00,1,2023-05-14 17:03:00
57,66,4,271,1,1,True,,2023-07-09 17:22:00,2023-07-09 17:46:00,1,2023-07-09 17:22:00
58,67,22,72,1,1,True,,2023-10-08 01:22:00,2023-10-08 01:37:00,1,2023-10-08 01:22:00
59,68,25,391,1,1,True,,2023-05-22 15:49:00,2023-05-22 15:54:00,1,2023-05-22 15:49:00
60,69,14,31,4,4,True,,2023-08-03 16:51:00,2023-08-03 17:18:00,1,2023-08-03 16:51:00
61,70,14,494,3,3,True,,2023-09-10 21:35:00,2023-09-10 21:53:00,1,2023-09-10 21:35:00
62,71,13,383,3,3,True,,2023-06-10 20:12:00,2023-06-10 20:39:00,1,2023-06-10 20:12:00
63,72,14,97,3,3,True,,2023-09-14 21:21:00,2023-09-14 21:48:00,1,2023-09-14 21:21:00
64,73,19,2,3,3,True,,2023-11-26 23:06:00,2023-11-26 23:31:00,1,2023-11-26 23:06:00
65,74,4,399,5,5,True,,2023-06-15 22:43:00,2023-06-15 23:07:00,1,2023-06-15 22:43:00
66,75,4,354,4,4,True,,2023-05-02 20:40:00,2023-05-02 21:03:00,1,2023-05-02 20:40:00
67,76,14,361,3,3,True,,2023-12-24 13:38:00,2023-12-24 14:05:00,1,2023-12-24 13:38:00
68,77,6,382,4,4,True,,2023-04-24 12:48:00,2023-04-24 13:01:00,1,2023-04-24 12:48:00
69,78,9,31,5,5,True,,2023-10-28 22:02:00,2023-10-28 22:29:00,1,2023-10-28 22:02:00
70,79,20,175,1,1,True,,2023-11-08 22:00:00,2023-11-08 22:27:00,1,2023-11-08 22:00:00
71,80,2,54,3,3,True,,2023-10-22 17:15:00,2023-10-22 17:23:00,1,2023-10-22 17:15:00
72,81,9,425,2,2,True,,2023-12-23 14:41:00,2023-12-23 14:46:00,1,2023-12-23 14:41:00
73,82,24,310,2,2,True,,2023-11-13 16:42:00,2023-11-13 17:01:00,1,2023-11-13 16:42:00
74,83,6,162,4,4,True,,2023-05-14 15:38:00,2023-05-14 16:07:00,1,2023-05-14 15:38:00
75,84,4,27,4,4,True,,2023-08-02 22:54:00,2023-08-02 23:01:00,1,2023-08-02 22:54:00
76,85,7,154,5,5,True,,2023-11-03 21:06:00,2023-11-03 21:17:00,1,2023-11-03 21:06:00
77,86,5,159,2,2,True,,2023-03-26 18:29:00,2023-03-26 18:40:00,1,2023-03-26 18:29:00
78,87,12,361,5,5,True,,2023-10-06 22:02:00,2023-10-06 22:15:00,1,2023-10-06 22:02:00
79,88,25,321,3,3,True,,2023-12-12 00:53:00,2023-12-12 01:19:00,1,2023-12-12 00:53:00
80,89,12,444,5,5,True,,2023-01-17 20:24:00,2023-01-17 20:29:00,1,2023-01-17 20:24:00
81,90,1,238,3,3,True,,2023-02-18 17:44:00,2023-02-18 18:13:00,1,2023-02-18 17:44:00
82,91,18,58,3,3,True,,2023-05-21 14:52:00,2023-05-21 15:10:00,1,2023-05-21 14:52:00
83,92,13,356,4,4,True,,2023-06-16 21:18:00,2023-06-16 21:47:00,1,2023-06-16 21:18:00
84,93,7,377,2,2,True,,2023-12-07 20:48:00,2023-12-07 21:02:00,1,2023-12-07 20:48:00
85,94,3,279,3,3,True,,2023-01-14 21:07:00,2023-01-14 21:35:00,1,2023-01-14 21:07:00
86,95,20,381,4,2,False,wrong_item,2023-09-12 23:20:00,2023-09-12 23:47:00,1,2023-09-12 23:20:00
87,96,21,249,5,5,True,,2023-08-17 20:34:00,2023-08-17 20:51:00,1,2023-08-17 20:34:00
88,97,22,266,3,3,True,,2023-10-03 09:57:00,2023-10-03 10:05:00,1,2023-10-03 09:57:00
89,98,9,213,2,2,True,,2023-11-20 23:56:00,2023-11-21 00:19:00,1,2023-11-20 23:56:00
90,99,25,10,1,1,True,,2023-01-13 12:05:00,2023-01-13 12:23:00,1,2023-01-13 12:05:00
91,100,1,51,1,1,True,,2023-07-12 16:01:00,2023-07-12 16:17:00,1,2023-07-12 16:01:00
92,101,10,14,4,4,True,,2023-04-28 03:18:00,2023-04-28 03:35:00,1,2023-04-28 03:18:00
93,102,1,321,5,5,True,,2023-11-13 11:53:00,2023-11-13 12:04:00,1,2023-11-13 11:53:00
94,103,22,156,3,3,True,,2023-10-19 13:27:00,2023-10-19 13:37:00,1,2023-10-19 13:27:00
95,104,25,259,5,5,True,,2023-12-05 13:32:00,2023-12-05 13:48:00,1,2023-12-05 13:32:00
96,105,2,454,1,1,True,,2023-06-26 18:32:00,2023-06-26 18:42:00,1,2023-06-26 18:32:00
97,106,5,128,5,5,True,,2023-10-14 20:13:00,2023-10-14 20:20:00,1,2023-10-14 20:13:00
98,107,19,207,5,5,True,,2023-10-06 16:43:00,2023-10-06 16:48:00,1,2023-10-06 16:43:00
99,108,2,373,4,4,True,,2023-02-27 22:23:00,2023-02-27 22:36:00,1,2023-02-27 22:23:00
100,109,4,114,4,4,True,,2023-12-27 17:31:00,2023-12-27 17:58:00,1,2023-12-27 17:31:00
101,110,12,32,3,3,True,,2023-04-05 15:03:00,2023-04-05 15:31:00,1,2023-04-05 15:03:00
102,111,25,145,5,5,True,,2023-11-01 13:16:00,2023-11-01 13:42:00,1,2023-11-01 13:16:00
103,112,9,78,5,5,True,,2023-08-13 16:30:00,2023-08-13 16:47:00,1,2023-08-13 16:30:00
104,113,6,465,4,4,True,,2023-10-27 16:27:00,2023-10-27 16:50:00,1,2023-10-27 16:27:00
105,114,11,394,3,3,True,,2023-07-13 19:17:00,2023-07-13 19:23:00,1,2023-07-13 19:17:00
106,115,17,320,4,4,True,,2023-06-16 23:13:00,2023-06-16 23:34:00,1,2023-06-16 23:13:00
107,116,19,429,3,3,True,,2023-10-09 17:38:00,2023-10-09 17:46:00,1,2023-10-09 17:38:00
108,117,5,391,5,5,True,,2023-12-02 02:11:00,2023-12-02 02:36:00,1,2023-12-02 02:11:00
109,118,20,90,2,2,True,,2023-08-08 17:05:00,2023-08-08 17:29:00,1,2023-08-08 17:05:00
110,119,15,444,5,5,True,,2023-07-04 20:22:00,2023-07-04 20:36:00,1,2023-07-04 20:22:00
111,120,7,271,4,4,True,,2023-11-26 21:29:00,2023-11-26 21:38:00,1,2023-11-26 21:29:00
112,121,12,394,1,1,True,,2023-06-16 15:16:00,2023-06-16 15:44:00,1,2023-06-16 15:16:00
113,122,16,447,2,2,True,,2023-11-15 19:01:00,2023-11-15 19:08:00,1,2023-11-15 19:01:00
114,123,8,158,5,5,True,,2023-04-23 19:20:00,2023-04-23 19:32:00,1,2023-04-23 19:20:00
115,124,2,51,2,2,True,,2023-05-13 16:49:00,2023-05-13 17:16:00,1,2023-05-13 16:49:00
116,125,17,114,2,2,True,,2023-09-08 19:51:00,2023-09-08 20:09:00,1,2023-09-08 19:51:00
117,126,20,212,2,2,True,,2023-09-11 15:53:00,2023-09-11 16:01:00,1,2023-09-11 15:53:00
118,127,22,401,4,4,True,,2023-06-04 17:38:00,2023-06-04 17:56:00,1,2023-06-04 17:38:00
119,129,4,2,1,1,True,,2023-10-15 20:39:00,2023-10-15 21:03:00,1,2023-10-15 20:39:00
120,130,3,259,1,1,True,,2023-01-15 14:48:00,2023-01-15 15:17:00,1,2023-01-15 14:48:00
121,131,4,209,4,4,True,,2023-05-06 15:07:00,2023-05-06 15:28:00,1,2023-05-06 15:07:00
122,132,13,112,5,5,True,,2023-02-09 01:39:00,2023-02-09 01:47:00,1,2023-02-09 01:39:00
123,133,24,58,5,5,True,,2023-02-05 19:45:00,2023-02-05 20:05:00,1,2023-02-05 19:45:00
124,134,23,166,4,4,True,,2023-06-07 13:20:00,2023-06-07 13:36:00,1,2023-06-07 13:20:00
125,135,19,473,5,5,True,,2023-09-27 13:24:00,2023-09-27 13:45:00,1,2023-09-27 13:24:00
126,136,16,159,2,2,True,,2023-05-10 23:31:00,2023-05-10 23:55:00,1,2023-05-10 23:31:00
127,137,6,265,3,3,True,,2023-07-07 16:02:00,2023-07-07 16:19:00,1,2023-07-07 16:02:00
128,138,4,351,4,4,True,,2023-01-11 00:46:00,2023-01-11 01:10:00,1,2023-01-11 00:46:00
129,140,23,488,5,5,True,,2023-11-03 02:50:00,2023-11-03 03:17:00,1,2023-11-03 02:50:00
130,141,21,484,1,1,True,,2023-05-24 00:41:00,2023-05-24 00:56:00,1,2023-05-24 00:41:00
131,142,16,128,1,1,True,,2023-12-09 17:31:00,2023-12-09 17:36:00,1,2023-12-09 17:31:00
132,143,6,252,3,3,True,,2023-08-21 20:51:00,2023-08-21 21:09:00,1,2023-08-21 20:51:00
133,144,19,148,4,4,True,,2023-12-24 19:21:00,2023-12-24 19:33:00,1,2023-12-24 19:21:00
134,145,23,144,1,1,True,,2023-12-07 17:35:00,2023-12-07 17:47:00,1,2023-12-07 17:35:00
135,146,5,15,2,2,True,,2023-04-12 23:38:00,2023-04-12 23:54:00,1,2023-04-12 23:38:00
136,147,1,302,3,3,True,,2023-08-27 12:18:00,2023-08-27 12:37:00,1,2023-08-27 12:18:00
137,148,13,253,3,3,True,,2023-09-11 19:52:00,2023-09-11 20:16:00,1,2023-09-11 19:52:00
138,149,25,20,2,2,True,,2023-05-06 13:01:00,2023-05-06 13:23:00,1,2023-05-06 13:01:00
139,150,3,141,3,3,True,,2023-11-12 18:40:00,2023-11-12 18:56:00,1,2023-11-12 18:40:00
140,151,17,455,5,5,True,,2023-11-08 19:57:00,2023-11-08 20:24:00,1,2023-11-08 19:57:00
141,152,19,120,2,2,True,,2023-12-17 17:47:00,2023-12-17 17:54:00,1,2023-12-17 17:47:00
142,153,7,73,1,0,False,wrong_item,2023-01-27 20:04:00,2023-01-27 20:32:00,1,2023-01-27 20:04:00
143,154,2,247,4,4,True,,2023-11-02 10:14:00,2023-11-02 10:19:00,1,2023-11-02 10:14:00
144,155,13,493,1,1,True,,2023-12-22 23:48:00,2023-12-22 23:54:00,1,2023-12-22 23:48:00
145,156,24,122,5,5,True,,2023-06-01 23:20:00,2023-06-01 23:29:00,1,2023-06-01 23:20:00
146,157,22,335,5,5,True,,2023-06-09 16:02:00,2023-06-09 16:27:00,1,2023-06-09 16:02:00
147,158,18,378,5,5,True,,2023-07-21 23:04:00,2023-07-21 23:10:00,1,2023-07-21 23:04:00
148,159,16,118,4,4,True,,2023-12-12 16:04:00,2023-12-12 16:09:00,1,2023-12-12 16:04:00
149,160,12,361,3,3,True,,2023-09-05 01:35:00,2023-09-05 01:41:00,1,2023-09-05 01:35:00
150,161,12,183,5,5,True,,2023-09-09 11:15:00,2023-09-09 11:31:00,1,2023-09-09 11:15:00
151,162,17,319,1,1,True,,2023-04-18 09:41:00,2023-04-18 09:48:00,1,2023-04-18 09:41:00
152,163,19,320,4,4,True,,2023-05-10 23:24:00,2023-05-10 23:34:00,1,2023-05-10 23:24:00
153,164,13,270,4,4,True,,2023-09-07 16:08:00,2023-09-07 16:38:00,1,2023-09-07 16:08:00
154,165,25,40,2,2,True,,2023-12-19 17:38:00,2023-12-19 18:01:00,1,2023-12-19 17:38:00
155,166,12,409,1,1,True,,2023-01-18 00:00:00,2023-01-18 00:13:00,1,2023-01-18 00:00:00
156,167,18,158,3,3,True,,2023-03-25 17:40:00,2023-03-25 17:51:00,1,2023-03-25 17:40:00
157,168,3,90,3,3,True,,2023-02-17 01:50:00,2023-02-17 02:19:00,1,2023-02-17 01:50:00
158,169,1,16,3,3,True,,2023-04-23 21:12:00,2023-04-23 21:38:00,1,2023-04-23 21:12:00
159,170,8,296,2,2,True,,2023-09-24 19:25:00,2023-09-24 19:38:00,1,2023-09-24 19:25:00
160,171,22,338,3,2,False,damaged,2023-08-11 17:16:00,2023-08-11 17:44:00,1,2023-08-11 17:16:00
161,172,22,7,1,1,True,,2023-06-13 14:30:00,2023-06-13 14:50:00,1,2023-06-13 14:30:00
162,173,25,259,2,2,True,,2023-10-27 12:25:00,2023-10-27 12:44:00,1,2023-10-27 12:25:00
163,174,4,114,4,4,True,,2023-10-14 22:29:00,2023-10-14 22:59:00,1,2023-10-14 22:29:00
164,175,6,324,4,4,True,,2023-12-12 20:05:00,2023-12-12 20:22:00,1,2023-12-12 20:05:00
165,177,9,344,3,3,True,,2023-05-17 23:22:00,2023-05-17 23:33:00,1,2023-05-17 23:22:00
166,178,25,191,3,3,True,,2023-02-04 16:15:00,2023-02-04 16:37:00,1,2023-02-04 16:15:00
167,179,2,471,2,2,True,,2023-06-15 17:12:00,2023-06-15 17:19:00,1,2023-06-15 17:12:00
168,180,24,69,2,2,True,,2023-03-15 12:29:00,2023-03-15 12:40:00,1,2023-03-15 12:29:00
169,181,19,168,2,2,True,,2023-03-11 15:33:00,2023-03-11 15:44:00,1,2023-03-11 15:33:00
170,182,1,52,2,2,True,,2023-10-11 21:33:00,2023-10-11 21:45:00,1,2023-10-11 21:33:00
171,183,11,463,2,2,True,,2023-12-06 22:05:00,2023-12-06 22:34:00,1,2023-12-06 22:05:00
172,184,18,434,3,3,True,,2023-01-06 02:11:00,2023-01-06 02:33:00,1,2023-01-06 02:11:00
173,185,6,130,2,2,True,,2023-11-11 19:32:00,2023-11-11 19:38:00,1,2023-11-11 19:32:00
174,186,2,329,3,3,True,,2023-10-04 17:37:00,2023-10-04 18:06:00,1,2023-10-04 17:37:00
175,188,9,278,5,5,True,,2023-04-28 10:58:00,2023-04-28 11:21:00,1,2023-04-28 10:58:00
176,189,6,269,5,2,False,wrong_qty,2023-10-05 14:03:00,2023-10-05 14:30:00,1,2023-10-05 14:03:00
177,190,13,122,4,4,True,,2023-10-18 22:00:00,2023-10-18 22:26:00,1,2023-10-18 22:00:00
178,191,22,42,1,1,True,,2023-06-24 21:17:00,2023-06-24 21:31:00,1,2023-06-24 21:17:00
179,192,18,447,3,3,True,,2023-09-13 00:58:00,2023-09-13 01:03:00,1,2023-09-13 00:58:00
180,193,24,448,5,5,True,,2023-07-14 23:01:00,2023-07-14 23:15:00,1,2023-07-14 23:01:00
181,194,16,320,5,5,True,,2023-10-07 13:05:00,2023-10-07 13:15:00,1,2023-10-07 13:05:00
182,195,8,167,4,4,True,,2023-03-22 22:53:00,2023-03-22 23:13:00,1,2023-03-22 22:53:00
183,196,24,169,5,5,True,,2023-11-28 00:28:00,2023-11-28 00:36:00,1,2023-11-28 00:28:00
184,197,25,361,2,2,True,,2023-11-11 12:25:00,2023-11-11 12:46:00,1,2023-11-11 12:25:00
185,198,7,447,4,4,True,,2023-03-23 19:18:00,2023-03-23 19:36:00,1,2023-03-23 19:18:00
186,199,14,443,4,4,True,,2023-01-08 02:23:00,2023-01-08 02:36:00,1,2023-01-08 02:23:00
187,200,21,385,5,5,True,,2023-03-05 19:49:00,2023-03-05 20:14:00,1,2023-03-05 19:49:00
188,201,19,324,5,5,True,,2023-10-03 12:12:00,2023-10-03 12:27:00,1,2023-10-03 12:12:00
189,202,18,36,4,4,True,,2023-08-01 14:55:00,2023-08-01 15:24:00,1,2023-08-01 14:55:00
190,203,3,78,2,2,True,,2023-10-04 15:39:00,2023-10-04 16:06:00,1,2023-10-04 15:39:00
191,204,24,447,2,2,True,,2023-07-09 12:36:00,2023-07-09 12:44:00,1,2023-07-09 12:36:00
192,205,7,302,5,5,True,,2023-04-14 17:28:00,2023-04-14 17:43:00,1,2023-04-14 17:28:00
193,206,7,4,2,2,True,,2023-10-08 19:07:00,2023-10-08 19:16:00,1,2023-10-08 19:07:00
194,207,20,46,5,5,True,,2023-02-21 14:21:00,2023-02-21 14:45:00,1,2023-02-21 14:21:00
195,208,16,332,5,5,True,,2023-06-17 20:20:00,2023-06-17 20:33:00,1,2023-06-17 20:20:00
196,209,17,2,4,4,True,,2023-04-18 23:54:00,2023-04-19 00:24:00,1,2023-04-18 23:54:00
197,210,22,78,3,3,True,,2023-11-02 15:26:00,2023-11-02 15:32:00,1,2023-11-02 15:26:00
198,211,16,275,2,2,True,,2023-03-23 14:48:00,2023-03-23 15:05:00,1,2023-03-23 14:48:00
199,212,20,345,4,4,True,,2023-04-02 21:53:00,2023-04-02 22:14:00,1,2023-04-02 21:53:00
200,213,6,325,3,3,True,,2023-11-16 22:53:00,2023-11-16 23:02:00,1,2023-11-16 22:53:00
201,214,5,114,3,3,True,,2023-06-07 00:11:00,2023-06-07 00:41:00,1,2023-06-07 00:11:00
202,215,10,356,5,2,False,wrong_qty,2023-02-26 18:21:00,2023-02-26 18:32:00,1,2023-02-26 18:21:00
203,216,21,117,5,5,True,,2023-07-13 15:07:00,2023-07-13 15:13:00,1,2023-07-13 15:07:00
204,217,9,159,4,4,True,,2023-05-13 15:40:00,2023-05-13 15:58:00,1,2023-05-13 15:40:00
205,218,2,370,3,3,True,,2023-11-03 23:52:00,2023-11-04 00:00:00,1,2023-11-03 23:52:00
206,219,4,325,5,5,True,,2023-06-21 22:15:00,2023-06-21 22:20:00,1,2023-06-21 22:15:00
207,220,13,420,4,4,True,,2023-12-26 22:36:00,2023-12-26 22:57:00,1,2023-12-26 22:36:00
208,221,9,329,3,3,True,,2023-12-15 13:25:00,2023-12-15 13:55:00,1,2023-12-15 13:25:00
209,222,2,284,3,3,True,,2023-09-24 14:44:00,2023-09-24 14:52:00,1,2023-09-24 14:44:00
210,223,8,42,5,5,True,,2023-05-27 21:43:00,2023-05-27 22:09:00,1,2023-05-27 21:43:00
211,224,9,183,5,1,False,damaged,2023-11-22 17:32:00,2023-11-22 18:01:00,1,2023-11-22 17:32:00
212,225,11,136,5,5,True,,2023-05-19 21:33:00,2023-05-19 21:43:00,1,2023-05-19 21:33:00
213,226,4,124,5,5,True,,2023-05-16 15:41:00,2023-05-16 15:49:00,1,2023-05-16 15:41:00
214,227,15,488,1,1,True,,2023-05-08 02:51:00,2023-05-08 02:58:00,1,2023-05-08 02:51:00
215,228,16,193,1,1,True,,2023-05-19 14:36:00,2023-05-19 14:57:00,1,2023-05-19 14:36:00
216,229,13,444,2,2,True,,2023-11-01 17:03:00,2023-11-01 17:23:00,1,2023-11-01 17:03:00
217,230,22,317,1,1,True,,2023-11-12 11:38:00,2023-11-12 11:46:00,1,2023-11-12 11:38:00
218,231,24,389,3,3,True,,2023-12-24 02:01:00,2023-12-24 02:16:00,1,2023-12-24 02:01:00
219,232,19,253,5,5,True,,2023-03-06 20:57:00,2023-03-06 21:09:00,1,2023-03-06 20:57:00
220,233,19,288,4,4,True,,2023-04-06 00:56:00,2023-04-06 01:05:00,1,2023-04-06 00:56:00
221,234,13,248,2,2,True,,2023-11-20 23:08:00,2023-11-20 23:20:00,1,2023-11-20 23:08:00
222,235,9,94,4,4,True,,2023-03-11 12:22:00,2023-03-11 12:48:00,1,2023-03-11 12:22:00
223,236,15,359,3,3,True,,2023-06-24 00:38:00,2023-06-24 00:56:00,1,2023-06-24 00:38:00
224,237,21,143,2,2,True,,2023-12-05 16:43:00,2023-12-05 16:51:00,1,2023-12-05 16:43:00
225,238,3,10,5,5,True,,2023-11-28 13:21:00,2023-11-28 13:39:00,1,2023-11-28 13:21:00
226,239,17,324,3,3,True,,2023-12-28 17:35:00,2023-12-28 17:43:00,1,2023-12-28 17:35:00
227,240,23,87,4,4,True,,2023-09-27 23:36:00,2023-09-27 23:44:00,1,2023-09-27 23:36:00
228,241,3,472,3,3,True,,2023-08-28 17:27:00,2023-08-28 17:39:00,1,2023-08-28 17:27:00
229,242,5,475,1,1,True,,2023-05-06 20:56:00,2023-05-06 21:19:00,1,2023-05-06 20:56:00
230,243,3,456,4,4,True,,2023-04-01 13:36:00,2023-04-01 13:49:00,1,2023-04-01 13:36:00
231,245,25,6,3,3,True,,2023-04-07 00:17:00,2023-04-07 00:31:00,1,2023-04-07 00:17:00
232,246,1,464,1,1,True,,2023-11-12 12:33:00,2023-11-12 12:54:00,1,2023-11-12 12:33:00
233,247,25,214,3,3,True,,2023-04-11 02:32:00,2023-04-11 02:49:00,1,2023-04-11 02:32:00
234,248,4,485,5,5,True,,2023-08-06 23:32:00,2023-08-06 23:54:00,1,2023-08-06 23:32:00
235,249,23,485,3,3,True,,2023-12-18 10:35:00,2023-12-18 10:55:00,1,2023-12-18 10:35:00
236,250,21,421,1,1,True,,2023-01-06 14:35:00,2023-01-06 14:43:00,1,2023-01-06 14:35:00
237,251,24,146,1,1,True,,2023-09-28 01:18:00,2023-09-28 01:29:00,1,2023-09-28 01:18:00
238,252,12,191,5,5,True,,2023-07-02 17:14:00,2023-07-02 17:25:00,1,2023-07-02 17:14:00
239,253,21,420,2,2,True,,2023-01-14 21:55:00,2023-01-14 22:13:00,1,2023-01-14 21:55:00
240,254,10,158,5,5,True,,2023-07-05 11:48:00,2023-07-05 12:01:00,1,2023-07-05 11:48:00
241,255,14,83,1,1,True,,2023-01-18 17:54:00,2023-01-18 18:04:00,1,2023-01-18 17:54:00
242,256,7,279,3,3,True,,2023-08-01 10:04:00,2023-08-01 10:32:00,1,2023-08-01 10:04:00
243,257,16,471,3,3,True,,2023-11-11 18:51:00,2023-11-11 19:13:00,1,2023-11-11 18:51:00
244,258,2,345,4,4,True,,2023-01-15 23:29:00,2023-01-15 23:38:00,1,2023-01-15 23:29:00
245,259,3,284,1,1,True,,2023-06-07 15:08:00,2023-06-07 15:22:00,1,2023-06-07 15:08:00
246,260,14,43,3,3,True,,2023-03-04 17:58:00,2023-03-04 18:08:00,1,2023-03-04 17:58:00
247,261,14,307,3,3,True,,2023-12-13 11:34:00,2023-12-13 11:42:00,1,2023-12-13 11:34:00
